Name,,Flags,,Cardinality,example,document,Type,Description & Constraints,,ValueSets,,,
type.coding[organizationalStructure],,Σ S,D,0..1,"110 ""Ixtisoslashtirilgan ilmiy-amaliy tibbiyot markazi""",,Coding,Определяет организационную структуру медучреждения System: https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-structure-cs Binding: OrganizationalGroupCS (required),,,,,
,system,Σ S,D,1..1,https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-structure-cs,,uri,,,,,,
,code,Σ S,D,1..1,110,,code,Binding: OrganizationalStructureCS (required),,,,,
type.coding[organizationalServiceGroup],,Σ S,D,0..*,"III_100 ""Poliklinika bo'limi va statsionar bo'limi mavjud""",,Coding,Определяет организационно-сервисную группу медучреждения System: https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-service-group-cs Binding: OrganizationalServiceGroupCS (required),,,,,
,system,Σ S,D,1..1,https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-service-group-cs,,uri,,,,,,
,code,Σ S,D,1..1,III_100,,code,Binding: OrganizationalServiceGroupCS (required),,,,,
type.coding[specialization],,Σ S,D,0..*,"145.0 ""Kattalar onkologiyasi""",,Coding,Определяет специализацию медорганизации System: https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-specialization-cs Binding: OrganizationalSpecializationCS (required),,,,,
,system,Σ S,D,1..1,https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-specialization-cs,,uri,,,,,,
,code,Σ S,D,1..1,145,,code,Binding: OrganizationalSpecializationCS (required),,,,,
type.coding[withoutLegalStatus],,Σ S,D,0..1,"STIR-I_30 ""Oilaviy poliklinika""",,Coding,Определяет тип медорганизаций без образования юридического лица System: https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-subordination-institution-cs Binding: OrganizationalSubordinationInstitutionCS (required),,,,,
,system,Σ S,D,1..1,https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-subordination-institution-cs,,uri,,,,,,
,code,Σ S,D,1..1,STIR-I_30,,code,Binding: OrganizationalSubordinationInstitutionCS (required),,,,,
type.coding[organizationGrouping],,Σ S,D,0..1,,,Coding,Определяет тип группировки межучреждению System: https://terminology.dhp.uz/fhir/core/CodeSystem/organization-grouping-uz-cs Binding: OrganizationGroupCS (required),,,,,
,system,Σ S,D,1..1,https://terminology.dhp.uz/fhir/core/CodeSystem/organization-grouping-uz-cs,,uri,Fixed system,,,,,
,code,Σ S,D,1..1,,,code,Binding: OrganizationGroupCS (required),,,,,
name,,Σ S,D,0..1,Respublika Onkologiya Markazi,,string,Название организации FSH: insert MultilingualName(организации),,,,,
Slices for extension name,,,,0..*,,,,Перевод на разные языки (локализация),,,,,
extension:lang,,,,1..1,,,Extension,,,,,,
,url,Σ S,  D,1..1,lang,,uri,"""lang""",,,,,
,valueCode,Σ S,  D,1..1,uz,,code,,,,,,
extension:content,,Σ S,  D,1..1,,,,,,,,,
,url,Σ S,,1..1,content, ,uri,"""content""",,,,,
,valueString,Σ S,  D,1..1,Respublika onkologiya markazi,,string,"Название, используемое для организации на выбранном языке",,,,,
contact,,Σ S,  D,0..*,unknown,,ExtendedContactDetail,Официальные контактные данные организации,,,,,
partOf,,Σ ,  D,0..1,,,Reference(Organization),"Организация, частью которой является данная организация",,,,,
endpoint,,,  D,0..*,,,Reference(Endpoint),,,,,,
