CODE,UZ,RU,Long common name (EN)
lab-pan-286,Miyelotsitlar,Миелоциты,
lab-pan-287,Metamiyelotsitlar,Метамиелоциты,
lab-pan-288,Tayoqchayadrolilar,Палочкоядерные нейтрофилы,
lab-pan-289,Segmentyadrolilar,Сегментоядерные нейтрофилы,
lab-pan-290,Miyelotsitlar,Миелоциты,
lab-pan-291,Metamiyelotsitlar,Метамиелоциты,
lab-pan-292,Tayoqchayadrolilar,Палочкоядерные нейтрофилы,
lab-pan-293,Segmentyadrolilar,Сегментоядерные нейтрофилы,
lab-pan-294,Limfoblastlar,Лимфобласты,Lymphoblasts/Leukocytes in Bone marrow by Manual count
lab-pan-295,Prolimfotsitlar,Пролимфоциты,Prolymphocytes/cells in Bone marrow by Manual count
lab-pan-296,Limfotsitlar,Лимфоциты,Lymphocytes/cells in Bone marrow by Manual count
lab-pan-297,Monoblastlar,Монобласты,Monoblasts/Leukocytes in Bone marrow by Manual count
lab-pan-298,Promonotsitlar,Промоноциты,Promonocytes/cells in Bone marrow by Manual count
lab-pan-299,Monotsitlar,Моноциты,Monocytes/cells in Bone marrow by Manual count
lab-pan-300,Leyko-eritroblastik nisbat,Лейко-эритробластическое соотношение,Myeloid cells/Erythroid cells [# Ratio] in Bone marrow
lab-pan-301,Neytrofillar yetilish indeksi,Индекс созревания нейтрофилов," 	Segmented neutrophils/cells in Bone marrow"
lab-pan-302,Proeritroblastlar,Проэритробласты,Pronormoblasts/cells in Bone marrow by Manual count
lab-pan-303,Bazofil eritroblastlar,Базофильные эритробласты,Basophils/cells in Bone marrow by Manual count
lab-pan-304,Polixromafil eritroblastlar,Полихроматофильные эритробласты,Normoblasts Polychromatophilic/cells in Bone marrow by Manual count
lab-pan-305,Oksifil eritroblastlar,Оксифильные эритробласты,Normoblasts oxyphilic+polychromatophilic/Normoblasts.total in Bone marrow by Manual count
lab-pan-306,Polixromatofil normoblastlar,Полихроматофильные нормобласты,Normoblasts Polychromatophilic/cells in Bone marrow by Manual count
lab-pan-307,Oksifil normoblastlar,Оксифильные нормобласты,Normoblasts Orthochromic/cells in Bone marrow by Manual count
lab-pan-308,Promegaloblastlar,Промегалобласты,Megaloblasts/cells in Bone marrow by Manual count
lab-pan-309,Bazofil megaloblastlar,Базофильные мегалобласты,Normoblasts Basophilic/cells in Bone marrow by Manual count
lab-pan-310,Polixromatofil megaloblastlar,Полихроматофильные мегалобласты,Normoblasts Polychromatophilic/cells in Bone marrow by Manual count
lab-pan-311,Oksifil megaloblastlar,Оксифильные мегалобласты,Normoblasts Orthochromic/cells in Bone marrow by Manual count
lab-pan-312,Megakarioblastlar,Мегакариобласты,Megakaryoblasts/cells in Bone marrow by Manual count
lab-pan-313,Promegakariotsitlar,Промегакариоциты,Promegakaryocytes/cells in Bone marrow by Manual count
lab-pan-314,Megokariotsitlar,Мегакариоциты,Megakaryocytes/cells in Bone marrow by Manual count
lab-pan-315,Retikulyar hujayralar,Ретикулярные клетки,"	Reticulum cell/cells in Bone marrow by Gomori stain"
lab-pan-316,Plazmoblastlar,Плазмобласты,Plasma cells immature/cells in Bone marrow by Manual count
lab-pan-317,Proplazmotsitlar,Проплазмоциты,Plasma cells immature/cells in Bone marrow by Manual count
lab-pan-318,Plazmotik xujayralar,Плазматические клетки,Plasma cells/cells in Bone marrow by Manual count
lab-pan-319,Xujayralar mitozi granulopoez,Митоз клеток гранулопоэза,Myelocytes/cells in Bone marrow by Manual count
lab-pan-320,Eritropoez hujayra mitozi,Митоз клеток эритропоэза,Erythropoiesis assessment in Bone marrow Narrative
lab-pan-321,Eritroblast va normoblastlar sitoplazmasining yetilish indeksi,Индекс зрелости цитоплазмы эритробластов и нормобластов,Differential panel - Bone marrow 
lab-pan-O,"Antistreptolizin-0, S- reaktiv oqsili va
revmatoid omiliga qonni tekshirish tahlili","Анализ крови на антистрептолизин-О, С-реактивный белок и ревматоидный фактор","Blood analysis for antistreptolysin-0, S-reactive protein and rheumatoid factor"
lab-pan-322,S-reyeaktiv oqsil,С-реактивный белок (CRP),C reactive protein [Presence] in Serum or Plasma
lab-pan-323,Revmotoid omili,Ревматоидный фактор (RF),Rheumatoid factor [Presence] in Serum
lab-pan-324,Antistriptolizin-O,Антистрептолизин-O (ASO),"
Streptolysin O Ab [Presence] in Serum"
lab-pan-P,Klinik - diagnostik laboratoriya miyelogramma,КЛИНИК-ДИАГНОСТИК ЛАБОРАТОРИЯ МИЕЛОГРАММА,Clinical - diagnostic laboratory myelogram
lab-pan-325,Suyak ko'migi hujayralari,Клетки костного мозга,Bone marrow cells
lab-pan-326,Blastlar,Бласты,Blasts
lab-pan-327,Barcha neytrofil elementlar,Все нейтрофильные элементы,All neutrophil elements
lab-pan-328,Promiyelositlar,Промиелоциты,Promyelocytes
lab-pan-329,Miyelositlar,Миелоциты,Myelocytes
lab-pan-330,Metamiyelositlar,Метамиелоциты,Metamyelocytes
lab-pan-331,Tayoqcha yadrolilar,Палочкоядерные нейтрофилы,Band neutrophils
lab-pan-332,Segment yadrolilar,Сегментоядерные нейтрофилы,Segmented neutrophils
lab-pan-333,Eozinofillar,Эозинофилы,Eosinophils
lab-pan-334,- Miyelosit eozinofillar,Эозинофильные миелоциты,- Eosinophilic myelocytes
lab-pan-335,- Metamiyelosit eozinofillar,Эозинофильные метамиелоциты,- Eosinophilic metamyelocytes
lab-pan-336,- Tayoqcha yadroli eozinofillar,Палочкоядерные эозинофилы,- Band eosinophils
lab-pan-337,- Segment yadroli eozinofillar,Сегментоядерные эозинофилы,- Segmented eosinophils
lab-pan-338,Bazofillar,Базофилы,Basophils
lab-pan-339,Limfoblastlar,Лимфобласты,Lymphoblasts
lab-pan-340,Prolimfositlar,Пролимфоциты,Prolymphocytes
lab-pan-341,Limfositlar,Лимфоциты,Lymphocytes
lab-pan-342,Monoblastlar,Монобласты,Monoblasts
lab-pan-343,Promonositlar,Промоноциты,Promonocytes
lab-pan-344,Monositlar,Моноциты,Monocytes
lab-pan-345,Plazmoblastlar,Плазмобласты,Plasmablasts
lab-pan-346,Proplazmositlar,Проплазмоциты,Proplasmacytes
lab-pan-347,Plazmositlar,Плазмоциты,Plasma cells
lab-pan-348,Retikulyar hujayralar,Ретикулярные клетки,Reticular cells
lab-pan-349,Barcha eritron elementlar,Все элементы эритрона,All erythroid elements
lab-pan-350,Eritroblastlar,Эритробласты,Erythroblasts
lab-pan-351,Pronormositlar,Пронормоциты,Pronormocytes
lab-pan-352,Bazofil normositlar,Базофильные нормоциты,Basophilic normocytes
lab-pan-353,Polixromotofil normositlar,Полихроматофильные нормоциты,Polychromatophilic normocytes
lab-pan-354,Oksifil normositlar,Оксифильные нормоциты,Oxyphilic normocytes
lab-pan-355,Mitoz shakllari,Фигуры митоза,Mitotic figures
lab-pan-356,Indekslar,Индексы,Indices
lab-pan-357,Leyko-eritroblastik nisbat,Лейко-эритробластическое соотношение,Leukoerythroblastic ratio
lab-pan-358,Eritrokariositlar yetilish indeksi,Индекс созревания эритрокариоцитов,Erythrokaryocyte maturation index
lab-pan-359,Neytrofillar yetilish indeksi,Индекс созревания нейтрофилов,Neutrophil maturation index
lab-pan-Q,Qon zardobidagi lipoproteinlarni tekshirish,Исследование сывороточных липопротеинов,Serum lipoprotein analysis
lab-pan-360,Umumiy xolesterin,Общий холестерин,Cholesterol [Mass/volume] in Serum or Plasma
lab-pan-361,Triglitserid,Триглицериды,Triglyceride [Mass/volume] in Serum or Plasma
lab-pan-362,XS-LPVP,Холестерин ЛПВП (липопротеины высокой плотности),Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation
lab-pan-363,XS-LPNP,Холестерин ЛПНП (липопротеины низкой плотности),Cholesterol in HDL [Mass/volume] in Serum or Plasma
lab-pan-364,XS-LPONP,Холестерин ЛПОНП (липопротеины очень низкой плотности), Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation
lab-pan-365,Xolesterin koeffisenti,Коэффициент атерогенности (коэффициент холестерина),Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma
lab-pan-R,SIydik shakliy elementlar soni tahlili,Исследование подсчета образцов мочи,Urine elemental count analysis
lab-pan-366,Leykositlar,Лейкоциты в моче (тест-полоска),Leukocytes [#/volume] in Urine by Test strip
lab-pan-367,Eritrositlar,Эритроциты в моче (тест-полоска),Erythrocytes [#/volume] in Urine by Test strip
lab-pan-368,Silindrlar,Цилиндры в осадке мочи,Casts [#/area] in Urine sediment
lab-pan-S,TORCH infeksiyasi IXLA  tahlili,Анализ на TORCH-инфекции методом ИХЛА,TORCH infection IXLA analysis
lab-pan-369,Cytomegalovirus Ig G,Цитомегаловирус IgG, Cytomegalovirus IgG Ab [Presence] in Serum or Plasma by Immunoassay
lab-pan-370,Gerpes simplex virus1/2 Ig G,Вирус простого герпеса 1/2 типа IgG,Herpes simplex virus 1+2 IgG Ab [Units/volume] in Serum by Immunoassay
lab-pan-371,Toxoplasma gondil Ig G,Toxoplasma gondii IgG,Toxoplasma gondii IgG Ab [Presence] in Serum
lab-pan-372,Chlamedia pneumonia Ig G,Chlamydia pneumoniae IgG,Chlamydophila pneumoniae IgG Ab [Presence] in Serum
lab-pan-373,Mycoplasma hominis Ig G,Mycoplasma hominis IgG,Mycoplasma hominis Ab [Presence] in Serum
lab-pan-374,Ureaplasma urealyticum Ig G,Ureaplasma urealyticum IgG,Ureaplasma urealyticum [Presence] in Specimen by Organism specific culture
lab-pan-T,Neonatal retest skrining tahlili,Неонатальный ретест-скрининг анализ,Neonatal retest screening analysis
lab-pan-375,Immunoreaktiv tripsin (IRT),Иммунореактивный трипсин (IRT),Trypsinogen I Free [Mass/volume] in DBS
lab-pan-376,Fenilalanin (PA),Фенилаланин (PA),Phenylalanine [Moles/volume] in DBS
lab-pan-377,Tireotrop gormon (TSH),Тиреотропный гормон (TSH),Thyrotropin [Units/volume] in Serum or Plasma
lab-pan-U,Immunoxemilyuminestsent tahlil (IXLA),Иммунохемилюминесцентный анализ (ИХЛА),Immunochemiluminescent analysis (IXLA)
lab-pan-378,SA 125,CA 125,Cancer Ag 125 [Units/volume] in Serum or Plasma
lab-pan-379,HВsAg quant,HBsAg количественный,Hepatitis B virus surface Ag [Presence] in Serum
lab-pan-380,Anti-HCV,Антитела к вирусу гепатита C (Anti-HCV),Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay
lab-pan-381,Insulin,Инсулин,Insulin [Units/volume] in Serum or Plasma
lab-pan-382,Insulinga o'xshash o'sish omili (IGF-1),Инсулиноподобный фактор роста (IGF-1),Insulin-like growth factor-I [Mass/volume] in Serum or Plasma
lab-pan-383,Somatotrop gormon (CH),Соматотропный гормон (СТГ),Somatotropin [Mass/volume] in Serum or Plasma
lab-pan-384,Foliyevaya kislota (FA),Фолиевая кислота (FA),Folate [Mass/volume] in Serum or Plasma
lab-pan-385,25-ON Vitamin D,25-ОН витамин D,25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma
lab-pan-386,Alfa-fetoprotein (CAFP),Альфа-фетопротеин (AFP),Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma
lab-pan-387,Mioglobin,Миоглобин,Myoglobin [Mass/volume] in Serum or Plasma
lab-pan-388,Vitamin V 12,Витамин B12,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma
lab-pan-389,Gomoctictein,Гомоцистеин,Homocysteine [Moles/volume] in Serum or Plasma
lab-pan-390,Ferritin,Ферритин,Ferritin [Mass/volume] in Serum or Plasma
lab-pan-391,Кreatinkinaza -МВ,Креатинкиназа-МВ (CK-MB),Creatine kinase.MB [Mass/volume] in Serum or Plasma
lab-pan-392,Troponin I,Тропонин I,Troponin I.cardiac [Mass/volume] in Serum or Plasma
lab-pan-393,Prokalsitonin,Прокальцитонин,Procalcitonin [Mass/volume] in Serum or Plasma
lab-pan-394,Kortizol,Кортизол,Cortisol [Mass/volume] in Serum or Plasma
lab-pan-395,HIV Ab/Ag Combi,Комбинированный тест на ВИЧ (HIV Ag/Ab Combo),HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma by Immunoassay
lab-pan-V,Tandem mass-spektrometriya tahlili,Исследование методом тандемной масс-спектрометрии (MS/MS),Tandem mass spectrometry analysis
lab-pan-396,ALA(alanine),ALA (аланин),Alanine [Moles/volume] in Serum or Plasma
lab-pan-397,ARG (arginine),ARG (аргинин),Arginine [Moles/volume] in Serum or Plasma
lab-pan-398,CIT (sitruliv),CIT (цитруллин),Citrulline [Moles/volume] in Serum or Plasma
lab-pan-399,GLY (glisin),GLY (глицин),Glycine [Moles/volume] in Serum or Plasma
lab-pan-400,LEU (leysin),LEU (лейцин), Leucine [Moles/volume] in Serum or Plasma
lab-pan-401,MET(metionin),MET (метионин), Methionine [Moles/volume] in DBS
lab-pan-402,ORN (оrnitin),ORN (орнитин),Ornithine [Moles/volume] in Serum or Plasma
lab-pan-403,PHE (fenilalanin),PHE (фенилаланин),Phenylalanine [Moles/volume] in Serum or Plasma
lab-pan-404,PRO (prolin),PRO (пролин),Proline [Moles/volume] in DBS
lab-pan-405,SA (suksinilasiton),SA (сукцинилацетон),Succinylacetone [Moles/volume] in DBS
lab-pan-406,TYR (tirozin),TYR (тирозин),Tyrosine [Moles/volume] in DBS
lab-pan-407,VAL (valin),VAL (валин),Valine [Moles/volume] in DBS
lab-pan-408,CO (erkin karnitin),CO (свободный карнитин),Carnitine free (C0) [Moles/volume] in DBS
lab-pan-409,C2 (asetilkarnitil),C2 (ацетилкарнитин),Acetylcarnitine (C2) [Moles/volume] in DBS
lab-pan-410,C3 (propionilkornitin),C3 (пропионилкарнитин),Propionylcarnitine (C3) [Moles/volume] in DBS
lab-pan-411,C4 (butirilkornitin),C4 (бутирилкарнитин),Butyrylcarnitine (C4) [Moles/volume] in DBS
lab-pan-412,С4ОН/C3DC,C4OH/C3DC (гидроксибутирилкарнитин/малонилкарнитин),Malonylcarnitine (C3-DC)+3-Hydroxybutyrylcarnitine (C4-OH) [Moles/volume] in DBS
lab-pan-413,С5 (izovalerilkornitin),C5 (изовалерилкарнитин),Isovalerylcarnitine (C5) [Moles/volume] in DBS
lab-pan-414,С5:1(tiglilkornitin),C5:1 (тиглилкарнитин),Tiglylcarnitine (C5:1) [Moles/volume] in DBS
lab-pan-415,С5DC\C6OH,C5DC/C6OH (глутарилкарнитин/гидроксигексаноилкарнитин),Glutarylcarnitine (C5-DC)+3-Hydroxyhexanoylcarnitine (C6-OH) [Moles/volume] in DBS
lab-pan-416,C5OH\C4DC,C5OH/C4DC (гидроксиизовалерилкарнитин/сукцинилкарнитин),Methylmalonylcarnitine (C4-DC)/3-Hydroxyisovalerylcarnitine (C5-OH) [Molar ratio] in DBS
lab-pan-417,C6 (teksanoilkornitin),C6 (гексаноилкарнитин),Hexanoylcarnitine (C6) [Moles/volume] in DBS
lab-pan-418,C6DC (teksanoilkornitin),C6DC (адипоилкарнитин),Adipoylcarnitine (C6-DC) [Moles/volume] in DBS
lab-pan-419,C8 (оktanoilkornitin),C8 (октаноилкарнитин),Octanoylcarnitine (C8) [Moles/volume] in DBS
lab-pan-420,C8: 1(oktenoilkornitin),C8:1 (октеноилкарнитин),Octenoylcarnitine (C8:1) [Moles/volume] in DBS
lab-pan-421,C10 (dikanoilkornitin),C10 (деканоилкарнитин),Decanoylcarnitine (C10) [Moles/volume] in DBS
lab-pan-422,C10:1 (desinoilkornitin),C10:1 (деценоилкарнитин),Decenoylcarnitine (C10:1) [Moles/volume] in DBS
lab-pan-423,C10:2 (dekadienoilkornitin),C10:2 (декадиеноилкарнитин),Decadienoylcarnitine (C10:2) [Moles/volume] in DBS
lab-pan-424,C12 (dodekanoilkornitin),C12 (додеканоилкарнитин),Dodecanoylcarnitine (C12) [Moles/volume] in DBS
lab-pan-425,C12:1 (deodesenoikornitin),C12:1 (додеценоилкарнитин),Dodecenoylcarnitine (C12:1) [Moles/volume] in DBS
lab-pan-426,C1 (formilkarnitin),C1 (формилкарнитин),C1 (Formylcarnitine)
lab-pan-427,C14:1 (tetradesenoilkornitin),C14:1 (тетрадценоилкарнитин),Tetradecenoylcarnitine (C14:1) [Moles/volume] in DBS
lab-pan-428,C14:2 (tetradekadienoilkornitin),C14:2 (тетрадцадиеноилкарнитин),Tetradecadienoylcarnitine (C14:2) [Moles/volume] in DBS
lab-pan-429,C14OH (3-gidroksi- tetradekadienoilkornitin),C14OH (3-гидрокситетрадеканоилкарнитин),3-Hydroxytetradecanoylcarnitine (C14-OH) [Moles/volume] in DBS
lab-pan-430,С16 (Palmitoylcarnitine),С16 (пальмитоилкарнитин),Palmitoylcarnitine (C16) [Moles/volume] in Blood
lab-pan-431,C16:1 (gексadetsenoil karnitin),С16:1 (гексадеценоилкарнитин),C16:1 (Hexadecenoylcarnitine)
lab-pan-432,C16:1OH (3-gidroksi-gексadetsenoil karnitin),С16:1ОН (3-гидрокси-гексадеценоилкарнитин),3-Hydroxypalmitoleylcarnitine (C16:1-OH) [Moles/volume] in DBS
lab-pan-433,C16OH (3-gidroksi-gексadekanoil karnitin),C16OH (3-гидрокси-гекадеканоилкарнитин),3-Hydroxyhexanoylcarnitine (C6-OH) [Moles/volume] in DBS
lab-pan-434,C18 (stearoil karnitin),C18 (октадеканоилкарнитин),Stearoylcarnitine (C18) [Moles/volume] in DBS
lab-pan-435,C18:1 (oktadetsenoil karnitin),C18:1 (октадеценоилкарнитин),Oleoylcarnitine (C18:1) [Moles/volume] in DBS
lab-pan-436,C18:1OH (3-gidroksi-oktadetsenoil karnitin),C18:1OH (3-гидрокси-октадеценоилкарнитин),3-Hydroxyoleoylcarnitine (C18:1-OH) [Moles/volume] in DBS
lab-pan-437,C18:2 (linoleil karnitin),C18:2 (линолеилкарнитин),Linoleoylcarnitine (C18:2) [Moles/volume] in DBS
lab-pan-438,C18OH (3-gidroksi-oktadekanoil karnitin),C18OH (3-гидрокси-октадеканоилкарнитин),3-Hydroxystearoylcarnitine (C18-OH) [Moles/volume] in DBS
lab-pan-W,Vasserman reaksiyasiga qon tahlili va boshqalar (Zaxm uchun serologik reaksiyalar paneli),"Анализ крови на реакцию Вассермана и другие (панель серологических реакций на сифилис)
",Treponema pallidum Ab [Presence] in Serum by Immunoassay
lab-pan-439,Vasserman bo'yicha natija,Результат по Вассерману,Reagin Ab [Presence] in Serum by VDRL
lab-pan-440,Kan natija,Результат по Кану,Reagin Ab [Presence] in Serum
lab-pan-441,Zaks vitebskiy natija,Результат по Заксу-Витебскому,Reagin Ab [Presence] in Serum
lab-pan-442,Zaks georgiy natija,Результат по Заксу-Георгию,Reagin Ab [Presence] in Serum
lab-pan-443,Meynik natija,Результат по Мейнику,Reagin Ab [Presence] in Serum
lab-pan-X,Klinik - diagnostik laboratoriya IXLA tahlili,"Клинико-диагностическая лаборатория, ИХЛА анализ","Clinical diagnostic laboratory, CLIA (chemiluminescent immunoassay) analysis"
lab-pan-444,Cytomegalovirus Ig G,Цитомегаловирус (антитела IgG),Cytomegalovirus immune globulin given [Volume]
lab-pan-445,Gerpes simplex virus1/2 Ig G,Вирус простого герпеса 1/2 типа (антитела IgG),Herpes simplex virus 1+2 IgG Ab [Units/volume] in Serum
lab-pan-446,Toxoplasma gondil Ig G,Токсоплазма (антитела IgG),Toxoplasma gondii IgG Ab [Presence] in Serum
lab-pan-447,Chlamedia pneumonia Ig G,Хламидия пневмонии (антитела IgG),Chlamydophila pneumoniae IgG Ab [Units/volume] in Serum
lab-pan-448,Mycoplasma hominis Ig G,Микоплазма хоминис (антитела IgG),Mycoplasma pneumoniae IgG Ab [Presence] in Serum
lab-pan-449,Ureaplasma urealyticum Ig G,Уреаплазма уреалитикум (антитела IgG),Ureaplasma urealyticum [Presence] in Specimen by Organism specific culture
lab-pan-450,Anti -dsDNA Ig G,Антитела к двуспиральной ДНК (IgG),DNA double strand IgG Ab [Presence] in Serum
lab-pan-451,Kollogen  C IV,Коллаген IV типа,Collagen crosslinked C-telopeptide [Mass/volume] in Urine
lab-pan-452,Gialuronovaya kislota (NA),Гиалуроновая кислота,Collagen type 4 Ag [Presence] in Tissue by Immune stain
lab-pan-453,Foliyevaya kislota (FA),Фолиевая кислота,Folate [Mass/volume] in Blood
lab-pan-454,Immunoglobulin Ig A,Иммуноглобулин A (IgA),IgA [Presence] in Serum
lab-pan-455,Immunoglobulin Ig M,Иммуноглобулин M (IgM),IgM [Presence] in Serum
lab-pan-456,Immunoglobulin Ig G,Иммуноглобулин G (IgG),IgG [Presence] in Serum
lab-pan-457,Anti-SSP (Anti-CCP),Антитела к циклическому цитруллинированному пептиду (Anti-CCP),Cyclic citrullinated peptide IgG Ab [Presence] in Serum
lab-pan-458,25-ON Vitamin D,25-ОН витамин D,25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma
lab-pan-459,Alfa-fetoprotein (CAFP),Альфа-фетопротеин (АФП),Alpha-1-Fetoprotein [Presence] in Serum or Plasma
lab-pan-460,Epshteyn-Barr (EBV VCA IgM),Вирус Эпштейна–Барр (VCA IgM),Epstein Barr virus capsid IgM Ab [Units/volume] in Serum
lab-pan-461,Mioglobin,Миоглобин,Myoglobin [Presence] in Serum or Plasma
lab-pan-462,FT3 (свободный),FT3 (свободный),Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma
lab-pan-463,FT4 (свободный),FT4 (свободный),Thyroxine (T4) free [Mass/volume] in Serum or Plasma
lab-pan-464,Tireotrop gormon (TTG/TSH) [Birlik/hajm],Tиреотропный гормон (ТТГ/TSH) [концентраци,Thyrotropin [Units/volume] in Serum or Plasma
lab-pan-465,Erkin triyodtironin (T3) [Zichlik],Свободный трийодтиронин (T3) [концентрация],Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma
lab-pan-466,Erkin tiroksin (T4) [Zichlik],Свободный тироксин (T4) [концентрация],Thyroxine (T4) free [Mass/volume] in Serum or Plasma
,,,
,,,
lab-pan-467,Gepatit V DNK(HVV) (sifatli),"Гепатит B ДНК(HBV), качественный",Hepatitis B virus DNA [Presence] in Serum or Plasma by NAA with probe detection
lab-pan-468,"РНК вируса гепатита C (HCV), количественный",Gepatit S RNK (HCV) (miqdoriy),Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection
lab-pan-469,Laboratoriya diagnostika boʻlimi Vitamin -D,Витамин D (отдел лабораторной диагностики),Vitamin D+Metabolites [Mass/volume] in Serum or Plasma
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
