CODE,UZ,RU,EN
#cancr0003.00029,CD68 Makrofaglarda ifodalangan oqsil,"CD68 Белок, экспрессируемый на макрофагах",CD68 A protein expressed on macrophages
#cancr0003.00030,Sitokeratin-Pan: marker barcha turdagi epiteliya hujayralarini aniqlash uchun ishlatiladi.,"ЦКР-ПАН (Cytokeratin-Pan): Маркер, используемый для идентификации всех типов эпителиальных клеток.",CKR-PAN (Cytokeratin-Pan): A marker used to identify all types of epithelial cells.
#cancr0003.00031,EMA (epitelial membrana antijeni): epiteliya o'smalarini aniqlash uchun ishlatiladigan marker.,"EMA (Epithelial Membrane Antigen): Маркер, используемый для идентификации эпителиальных опухолей.",EMA (Epithelial Membrane Antigen): A marker used to identify epithelial tumors.
#cancr0003.00032,"BER-EP-4 Antikor epiteliya hujayralarini aniqlashda, ayniqsa karsinomalarni tashxislashda ishlatiladi.","BER-EP-4 Антитело, используемое для идентификации эпителиальных клеток, особенно в диагностике карцином.","BER-EP-4 An antibody used to identify epithelial cells, especially in the diagnosis of carcinomas."
#cancr0003.00033,TTF-1 (Tiroid transkripsiya faktor-1): Qalqonsimon bez va o'pka hujayralarida ifodalangan transkripsiya omili,"TTF-1 (Thyroid Transcription Factor-1): Транскрипционный фактор, экспрессируемый в клетках щитовидной железы и легких",TTF-1 (Thyroid Transcription Factor-1): A transcription factor expressed in thyroid and lung cells
#cancr0003.00034,GFAP (Glial fibrilyar kislota oqsili): glial hujayralarda ifodalangan oqsil.,"GFAP (Glial Fibrillary Acidic Protein): Белок, экспрессируемый в глиальных клетках.",GFAP (Glial Fibrillary Acidic Protein): A protein expressed in glial cells.
#cancr0003.00035,EGFR (HER-1) Epidermal o'sish omili retseptorlari,EGFR (HER-1) Рецептор эпидермального фактора роста,EGFR (HER-1) Epidermal growth factor receptor
#cancr0003.00036,Sitokeratin 7: adenokarsinoma va boshqa epiteliya o'smalarini tashxislash uchun ishlatiladigan marker.,"ЦКР 7 (Cytokeratin 7): Маркер, используемый для диагностики аденокарцином и других эпителиальных опухолей.",CKR 7 (Cytokeratin 7): A marker used to diagnose adenocarcinomas and other epithelial tumors.
#cancr0003.00037,Sitokeratin 8: Turli xil karsinomalarni tashxislash uchun ishlatiladigan marker.,"ЦКР 8 (Cytokeratin 8): Маркер, используемый для диагностики различных карцином.",Cytokeratin 8: A marker used to diagnose various carcinomas.
#cancr0003.00038,Sitokeratin 19: Marker metastatik karsinomalarni tashxislash uchun ishlatiladi.,"ЦКР 19 (Cytoconatin 19): Маркер, используемый для диагностики метастатических карцином.",Cytokeratin 19: A marker used to diagnose metastatic carcinomas.
#cancr0003.00039,Sitokeratin 20: Kolorektal va boshqa adenokarsinomalarni tashxislash uchun ishlatiladigan marker.,"ЦКР 20 (Cytokeratin 20): Маркер, используемый для диагностики колоректальных и других аденокарцином.",Cytokeratin 20: A marker used to diagnose colorectal and other adenocarcinomas.
#cancr0003.00040,Sitokeratin-skuamoz: skuamoz hujayrali karsinomalarni tashxislash uchun marker.,ЦКР-плоск (Cytokeratin-squamous): Маркер для диагностики плоскоклеточных карцином.,Cytokeratin-squamous: A marker for diagnosing squamous cell carcinomas.
#cancr0003.00041,CEA (Carcinoembrionic Antigen): saraton kasalligini tashxislash va monitoring qilish uchun o'simta belgisi sifatida ishlatiladigan oqsil.,"РЭА (CEA, Carcinoembryonic Antigen): Белок, используемый как опухолевый маркер для диагностики и мониторинга рака.",CEA (Carcinoembryonic Antigen): A protein used as a tumor marker for diagnosing and monitoring cancer.
#cancr0003.00042,PSA (prostata o'ziga xos antigen): prostata saratoni tashxisi va monitoringi uchun marker sifatida ishlatiladigan protein.,"PSA (Prostate-Specific Antigen): Белок, используемый как маркер для диагностики и мониторинга рака предстательной железы.",PSA (Prostate-Specific Antigen): A protein used as a marker for diagnosing and monitoring prostate cancer.
#cancr0003.00043,AR (Androgen retseptorlari): prostata saratoni tashxisi va tadqiqoti uchun ishlatiladigan androgen retseptorlari.,"AR (Androgen Receptor): Рецептор андрогенов, используемый для диагностики и исследования рака предстательной железы.",AR (Androgen Receptor): An androgen receptor used to diagnose and research prostate cancer.
#cancr0003.00044,Vimentin Mezenxima hujayralarini aniqlash va sarkomalarni tashxislash uchun ishlatiladigan oraliq filament oqsili.,"Vimentin Белок промежуточных филаментов, используемый для идентификации мезенхимальных клеток и диагностики сарком.",Vimentin An intermediate filament protein used to identify mesenchymal cells and diagnose sarcomas.
#cancr0003.00045,Desmin Mushak hujayralarida ifodalangan oraliq filament oqsili.,"Desmin Белок промежуточных филаментов, экспрессируемый в мышечных клетках.",Desmin An intermediate filament protein expressed in muscle cells.
#cancr0003.00046,Pan-aktin: hujayralardagi aktin filamentlarini aniqlash uchun ishlatiladigan oqsil.,"Пан-актин (Pan-actin): Белок, используемый для идентификации актиновых филаментов в клетках.",Pan-actin: A protein used to identify actin filaments in cells.
#cancr0003.00047,a-aktin SM (a-Smooth Muscle Actin): silliq mushak o'smalarini tashxislash uchun ishlatiladigan silliq mushak hujayralari belgisi.,"α-актин SM (α-Smooth Muscle Actin): Маркер гладкомышечных клеток, используемый для диагностики гладкомышечных опухолей.",α-Smooth Muscle Actin: A smooth muscle cell marker used to diagnose smooth muscle tumors.
#cancr0003.00048,E-kaderin: adenokarsinomalarni tashxislash uchun ishlatiladigan adezyon oqsili.,"Е-кадгерин (E-cadherin): Адгезионный белок, используемый для диагностики аденокарцином.",E-cadherin: An adhesion protein used to diagnose adenocarcinomas.
#cancr0003.00049,P63 Transkripsiya omili skuamoz hujayrali karsinoma va boshqa o'smalarni tashxislashda qo'llaniladi.,"Р63 Танскрипционный фактор, используемый для диагностики плоскоклеточных карцином и других опухолей.",P63 A transcription factor used to diagnose squamous cell carcinomas and other tumors.
#cancr0003.00050,Kollagen IV Bazal membrana kasalliklarini tashxislashorqa ishlatiladigan protein.,"Collagen IV Белок, используемый для диагностики заболеваний базальной мембраны.",Collagen IV A protein used to diagnose basement membrane diseases.
#cancr0003.00051,NF (neyrofilament): neyronlarda ifodalangan oqsil. Neyron o'smalarini tashxislash uchun ishlatiladi.(,"NF (Neurofilament): Белок, экспрессируемый в нейронах. Используется для диагностики нейрональных опухолей.(",NF (Neurofilament): A protein expressed in neurons. Used to diagnose neuronal tumors.
#cancr0003.00052,MBP (Myoglobin): Mushaklarning shikastlanishini tashxislash uchun ishlatiladigan protein.,"МВР (Myoglobin): Белок, используемый для диагностики повреждений мышц.",MBP (Myoglobin): A protein used to diagnose muscle damage.
#cancr0003.00053,NSE (neyronga xos enolaza): neyroendokrin o'smalarini tashxislash uchun ishlatiladigan oqsil.,"NSE (Neuron-Specific Enolase): Белок, используемый для диагностики нейроэндокринных опухолей.",NSE (Neuron-Specific Enolase): A protein used to diagnose neuroendocrine tumors.
#cancr0003.00054,S100 Protein melanoma va boshqa o'smalarni tashxislash uchun ishlatiladi.,"S100 Белок, используемый для диагностики меланомы и других опухолей.",S100 A protein used to diagnose melanoma and other tumors.
#cancr0003.00055,HMB-45 antikori melanoma tashxisi uchun ishlatiladi.,"HMB-45 Антитело, используемое для диагностики меланомы.",HMB-45 An antibody used to diagnose melanoma.
#cancr0003.00056,a-1-AChT (a-1-Antitripsin): Jigar va o'pka kasalliklarini tashxislash uchun ishlatiladigan oqsil.,"α-1-АХТ (α-1-Antitrypsin): Белок, используемый для диагностики заболеваний печени и легких.",α-1-Antitrypsin: A protein used to diagnose liver and lung disease.
#cancr0003.00057,NBME-1 antikori mezotelyoma tashxisi uchun ishlatiladi.,"НВМЕ-1 Антитело, используемое для диагностики мезотелиомы.",HBME-1 An antibody used to diagnose mesothelioma.
#cancr0003.00058,Kalsitonin: qalqonsimon bezning medullar saratonini tashxislash uchun ishlatiladigan gormon.,"Кальцитонин (Calcitonin): Гормон, используемый для диагностики медуллярного рака щитовидной железы.",Calcitonin: A hormone used to diagnose medullary thyroid cancer.
#cancr0003.00059,Tiroglobulin: qalqonsimon bez saratonini kuzatish uchun ishlatiladigan protein.,"Тиреоглобулин (Thyroglobulin): Белок, используемый для мониторинга рака щитовидной железы.",Thyroglobulin: A protein used to monitor thyroid cancer.
#cancr0003.00060,Sinaptofizin: Neyroendokrin o'smalarni tashxislash uchun ishlatiladigan oqsil.,"Синаптофизин (Synaptophysin): Белок, используемый для диагностики нейроэндокринных опухолей.",Synaptophysin: A protein used to diagnose neuroendocrine tumors.
#cancr0003.00061,Xromogranin Neyroendokrin hujayralarda ifodalangan glikoprotein.,"Хромогранин (Chromogranin)Гликопротеин, экспрессируемый в нейроэндокринных клетках.",Chromogranin (Chromogranin) A glycoprotein expressed in neuroendocrine cells.
#cancr0003.00062,"AFP AFP, alfa-fetoprotein) Odatda homilaning jigari va sarig'i qopchasi tomonidan ishlab chiqariladigan oqsil.","АФП AFP, Alpha-Fetoprotein) Белок, который в норме вырабатывается печенью и желточным мешком плода",AFP (Alpha-Fetoprotein) A protein that is normally produced by the liver and yolk sac of the fetus
#cancr0003.00063,PLAP (platsenta ishqoriy fosfataza) platsentada ifodalangan ferment,"PLAP(Placental Alkaline Phosphatase) Фермент, экспрессируемый в плаценте",PLAP (Placental Alkaline Phosphatase) An enzyme expressed in the placenta
#cancr0003.00064,VEGF (qon tomir endotelial o'sish omili) yangi qon tomirlarining o'sishini rag'batlantiradigan oqsil.,"VEGF(Vascular Endothelial Growth Factor) Белок, стимулирующий рост новых кровеносных сосудов",VEGF (Vascular Endothelial Growth Factor) A protein that stimulates the growth of new blood vessels
#cancr0003.00065,VEGFR (qon tomir endotelial o'sish omili retseptorlari) angiogenezda ishtirok etadigan VEGF retseptorlari,"VEGFR (Vascular Endothelial Growth Factor Receptor) Рецептор для VEGF, участвующий в ангиогенезе",VEGFR (Vascular Endothelial Growth Factor Receptor) A receptor for VEGF involved in angiogenesis
#cancr0003.00066,ALK (anaplastik limfoma kinaz) hujayra o'sishida ishtirok etadigan tirozin kinaz,"ALK (Anaplastic Lymphoma Kinase) Тирозинкиназа, участвующая в клеточном росте",ALK (Anaplastic Lymphoma Kinase) A tyrosine kinase involved in cell growth
#cancr0003.00067,p16 (Siklinga bog'liq kinaz inhibitori 2A) Hujayra bo'linish siklini inhibe qiluvchi oqsil,"р16 (Cyclin-Dependent Kinase Inhibitor 2A)Белок, ингибирующий цикл клеточного деления",p16 (Cyclin-Dependent Kinase Inhibitor 2A) A protein that inhibits the cell division cycle
#cancr0003.00068,Amacr Amacr (Alpha-Methylacyl-CoA Racemase) yog 'kislotalari almashinuvida ishtirok etadigan ferment,"Amacr Amacr (Alpha-Methylacyl-CoA Racemase)Фермент, участвующий в метаболизме жирных кислот",Amacr Amacr (Alpha-Methylacyl-CoA Racemase) An enzyme involved in the metabolism of fatty acids
#cancr0003.00069,Androgen R (Androgen retseptorlari) Androgen retseptorlari erkaklarning jinsiy xususiyatlarini tartibga solishda ishtirok etadilar.,"Androgen R (Androgen Receptor) Рецептор андрогенов, участвующий в регуляции мужских половых характеристик",Androgen R (Androgen Receptor) Androgen receptor involved in the regulation of male sexual characteristics
#cancr0003.00070,Annexin A1 Yallig'lanish jarayonlarida va apoptozni tartibga solishda ishtirok etadigan oqsil.,"Annexin A1 Белок, участвующий в воспалительных процессах и регуляции апоптоза.",Annexin A1 Protein involved in inflammatory processes and the regulation of apoptosis.
#cancr0003.00071,Arginaza-1 fermenti arginin almashinuvida ishtirok etadi,"Arginase-1 Фермент, участвующий в метаболизме аргинина",Arginase-1 Enzyme involved in the metabolism of arginine
#cancr0005.00000,Molekulyar genetik tadqiqotlar markerlari,Молекулярно генетическое исследование_Маркеры,Molecular genetic research Markers
#cancr0005.00001,"ABCB11 ATP-bog'lovchi kassetali B sub-familiyasi a'zosi 11) Protein, jigarda o't kislotalarini tashuvchisi","ABCB11 ATP-Binding Cassette Sub-Family B Member 11) Белок, транспортер желчных кислот в печени","ABCB11 ATP-Binding Cassette Sub-Family B Member 11) Protein, bile acid transporter in the liver"
#cancr0005.00002,ABRAXAS1 (FAM175A) DNKni tiklashda ishtirok etadigan oqsil.,"ABRAXAS1 (FAM175A) Белок, участвующий в репарации ДНК.",ABRAXAS1 (FAM175A) Protein involved in DNA repair.
#cancr0005.00003,ACD (adrenokortikal displazi homologi) telomerni saqlashda ishtirok etadigan oqsil,"ACD (Adrenocortical Dysplasia Homolog) Белок, участвующий в поддержании теломер",ACD (Adrenocortical Dysplasia Homolog) Protein involved in telomere maintenance
#cancr0005.00004,AIP (Aril uglevodorod retseptorlari bilan o'zaro ta'sir qiluvchi protein) aril uglevodorod retseptorlari funktsiyalarini tartibga soluvchi oqsil,"AIP (Aryl Hydrocarbon Receptor Interacting Protein) Белок, регулирующий функции арилуглеводородного рецептора",AIP (Aryl Hydrocarbon Receptor Interacting Protein) Protein that regulates the functions of the aryl hydrocarbon receptor
#cancr0005.00005,AKT1 (AKT Serin/Treonin Kinaz 1) Kinaz hujayra o'sishi va omon qolishini tartibga soluvchi signal yo'llarida ishtirok etadi,"AKT1 (AKT Serine/Threonine Kinase 1) Киназа, участвующая в сигнальных путях, регулирующих клеточный рост и выживание",AKT1 (AKT Serine/Threonine Kinase 1) Kinase involved in signaling pathways regulating cell growth and survival
#cancr0005.00006,ALK (anaplastik limfoma kinaz) hujayra o'sishida ishtirok etadigan tirozin kinaz,"ALK (Anaplastic Lymphoma Kinase) Тирозинкиназа, участвующая в клеточном росте",ALK (Anaplastic Lymphoma Kinase) Tyrosine kinase involved in cell growth
#cancr0005.00007,"ANKRD26 (Ankyrin Repeat Domain 26) Noma'lum aniq funktsiyaga ega protein, ammo mutatsiyalar trombotsitopeniya va miyeloid neoplaziyaning irsiy shakllari bilan bog'liq.","ANKRD26 (Ankyrin Repeat Domain 26) Белок с неизвестной точной функцией, но мутации связаны с наследственными формами тромбоцитопении и миелоидными неоплазиями.","ANKRD26 (Ankyrin Repeat Domain 26) A protein of unknown precise function, but mutations are associated with inherited forms of thrombocytopenia and myeloid neoplasia."
#cancr0005.00008,APC (Adenomatous Polyposis Coli) Hujayra siklini tartibga solishda ishtirok etadigan o'simta bostiruvchi oqsil.,"APC (Adenomatous Polyposis Coli) Белок-супрессор опухолей, участвующий в регуляции клеточного цикла.",APC (Adenomatous Polyposis Coli) A tumor suppressor protein involved in cell cycle regulation.
#cancr0005.00009,AR (Androgen retseptorlari) Androgen retseptorlari erkaklarning jinsiy xususiyatlarini tartibga solishda ishtirok etadilar,"AR (Androgen Receptor) Рецептор андрогенов, участвующий в регуляции мужских половых характеристик",AR (Androgen Receptor) Androgen receptor involved in regulating male sexual characteristics
#cancr0005.00010,ASCC1 (Faollashtiruvchi Signal Kointegrator 1 Kompleks Subunit 1) Transkripsiya va DNK ta'mirlashni tartibga solishda ishtirok etadigan oqsil,"ASCC1 (Activating Signal Cointegrator 1 Complex Subunit 1) Белок, участвующий в регуляции транскрипции и репарации ДНК",ASCC1 (Activating Signal Cointegrator 1 Complex Subunit 1) Protein involved in regulating transcription and DNA repair
#cancr0005.00011,ASXL1 (1 kabi qo'shimcha jinsiy taroq) Transkripsiyani tartibga solishda ishtirok etadigan oqsil,"ASXL1 (Additional Sex Combs Like 1) Белок, участвующий в регуляции транскрипции",ASXL1 (Additional Sex Combs Like 1) Protein involved in regulating transcription
#cancr0005.00012,ATM (ataksiya telangiektaziyasi mutatsiyaga uchragan) oqsil DNKni tiklash va hujayra siklini tartibga solishda muhim rol o'ynaydi.,"ATM (Ataxia Telangiectasia Mutated) Белок, играющий ключевую роль в репарации ДНК и регуляции клеточного цикла",ATM (Ataxia Telangiectasia Mutated) Protein that plays a key role in DNA repair and cell cycle regulation
#cancr0005.00013,ATP8B1 (ATPase Fosfolipidni tashuvchi 8B1) Fosfolipidlarni tashishda ishtirok etadigan oqsil,"ATP8B1 (ATPase Phospholipid Transporting 8B1) Белок, участвующий в транспорте фосфолипидов",ATP8B1 (ATPase Phospholipid Transporting 8B1) Protein involved in phospholipid transport
#cancr0005.00014,ATR (ATR Serin / Treonin Kinaz) kinaz DNKning shikastlanishiga javob berish va tiklashda muhim rol o'ynaydi.,"ATR (ATR Serine/Threonine Kinase) Киназа, играющая ключевую роль в ответе на повреждения ДНК и репарации",ATR (ATR Serine/Threonine Kinase) Kinase that plays a key role in DNA damage response and repair
#cancr0005.00015,AXIN2 (Axis Inhibition Protein 2) Wnt signalizatsiya yo'lini tartibga solishda ishtirok etadigan oqsil. Mutatsiyalar kolorektal saraton xavfining oshishi bilan bog'liq.,"AXIN2 (Axis Inhibition Protein 2) Белок, участвующий в регуляции сигнального пути Wnt. Мутации связаны с повышенным риском развития колоректального рака.",AXIN2 (Axis Inhibition Protein 2) Protein involved in regulating the Wnt signaling pathway. Mutations are associated with an increased risk of colorectal cancer.
#cancr0005.00016,BAP1 (BRCA1 Associated Protein 1) Deubiquitinase hujayra siklini tartibga solish va DNKni tiklashda ishtirok etadi,"BAP1 (BRCA1 Associated Protein 1) Деубиквитиназа, участвующая в регуляции клеточного цикла и репарации ДНК",BAP1 (BRCA1 Associated Protein 1) Deubiquitinase involved in cell cycle regulation and DNA repair
#cancr0005.00017,BARD1 (BRCA1 Associated RING Domain 1) DNKni tiklashda ishtirok etadigan BRCA1 bilan o'zaro ta'sir qiluvchi protein,"BARD1 (BRCA1 Associated RING Domain 1) Белок, взаимодействующий с BRCA1 и участвующий в репарации ДНК",BARD1 (BRCA1 Associated RING Domain 1) Protein interacting with BRCA1 and involved in DNA repair
#cancr0005.00018,"BLM (Bloom sindromi, RecQ Helicase-like) DNKni tiklashda ishtirok etadigan helikaz.","BLM (Bloom Syndrome, RecQ Helicase-Like) Геликаза, участвующая в репарации ДНК.","BLM (Bloom Syndrome, RecQ Helicase-Like) Helicase involved in DNA repair."
#cancr0005.00019,BMPR1A (Suyak morfogenetik oqsil retseptorlari turi 1A) o'sish va rivojlanishni tartibga solishda ishtirok etadigan suyak morfogenetik oqsil retseptorlari,"BMPR1A (Bone Morphogenetic Protein Receptor Type 1A) Рецептор костного морфогенетического белка, участвующий в регуляции роста и развития",BMPR1A (Bone Morphogenetic Protein Receptor Type 1A) Bone morphogenetic protein receptor involved in the regulation of growth and development
#cancr0005.00020,"BRAF (B-Raf Proto-Onkogen, Serin/Treonin Kinaz) MAPK/ERK signalizatsiya yo'lida ishtirok etadi.","BRAF (B-Raf Proto-Oncogene, Serine/Threonine Kinase) Киназа, участвующая в сигнальном пути MAPK/ERK","BRAF (B-Raf Proto-Oncogene, Serine/Threonine Kinase) Kinase involved in the MAPK/ERK signaling pathway"
#cancr0005.00021,BRCA1 (Ko'krak bezi saratoni 1) DNKni tiklashda ishtirok etadigan o'simtani bostiruvchi oqsil,"BRCA1(Breast Cancer 1) Белок-супрессор опухолей, участвующий в репарации ДНК",BRCA1(Breast Cancer 1) Tumor suppressor protein involved in DNA repair
#cancr0005.00022,BRCA2 (ko'krak bezi saratoni 2) DNKni tiklashda ishtirok etadigan o'simtani bostiruvchi oqsil.,"BRCA2 (Breast Cancer 2) Белок-супрессор опухолей, участвующий в репарации ДНК.",BRCA2 (Breast Cancer 2) Tumor suppressor protein involved in DNA repair.
#cancr0005.00023,BRIP1 (BRCA1 o'zaro ta'sir qiluvchi protein C-terminal helikaz 1) BRCA1 bilan o'zaro ta'sir qiluvchi va DNKni tiklashda ishtirok etadigan helikaz,"BRIP1 (BRCA1 Interacting Protein C-Terminal Helicase 1) Геликаза, взаимодействующая с BRCA1 и участвующая в репарации ДНК",BRIP1 (BRCA1 Interacting Protein C-Terminal Helicase 1) Helicase interacting with BRCA1 and involved in DNA repair
#cancr0005.00024,BTNL2 (Butirofilinga o'xshash 2) protein immun javobini tartibga solishda ishtirok etadi,"BTNL2 (Butyrophilin-Like 2) Белок, участвующий в регуляции иммунного ответа",BTNL2 (Butyrophilin-Like 2) Protein involved in the regulation of the immune response
#cancr0005.00025,BUB1B (BUB1 Mitotik nazorat punkti Serin/Treonin Kinaz B) Mitotik nazorat punktida rol o'ynaydigan kinaz,"BUB1B (BUB1 Mitotic Checkpoint Serine/Threonine Kinase B) Киназа, играющая роль в митотическом контрольном пункте",BUB1B (BUB1 Mitotic Checkpoint Serine/Threonine Kinase B) Kinase playing a role in the mitotic checkpoint
#cancr0005.00026,CBL (Casitas B-Lineage Lymphoma) Ubiquitin ligaza oqsil degradatsiyasini tartibga solishda ishtirok etadi.,"CBL (Casitas B-Lineage Lymphoma) Убиквитинлигаза, участвующая в регуляции деградации белков.",CBL (Casitas B-Lineage Lymphoma) Ubiquitin ligase involved in the regulation of protein degradation.
#cancr0005.00027,CDC73 (Hujayra bo'linish sikli 73) Hujayra siklini tartibga solish va o'smalarni bostirishda ishtirok etadigan oqsil.,"CDC73 (Cell Division Cycle 73) Белок, участвующий в регуляции клеточного цикла и супрессии опухолей.",CDC73 (Cell Division Cycle 73) Protein involved in cell cycle regulation and tumor suppression.
#cancr0005.00028,CDH1 (Cadherin 1) Hujayra yopishqoqligini saqlashda muhim rol o'ynaydigan hujayra yopishish oqsili,"CDH1 (Cadherin 1) Белок адгезии клеток, играющий ключевую роль в поддержании клеточной адгезии",CDH1 (Cadherin 1) Cell adhesion protein that plays a key role in maintaining cell adhesion
#cancr0005.00029,CDK4 (Cyclin Dependent Kinase 4) Hujayra siklini tartibga soluvchi kinaz.,"CDK4 (Cyclin Dependent Kinase 4) Киназа, регулирующая клеточный цикл.",CDK4 (Cyclin Dependent Kinase 4) Kinase that regulates the cell cycle.
#cancr0005.00030,CDKN1B (Cyclin Dependent Kinase Inhibitor 1B) Hujayra siklini tartibga soluvchi kinazalarning inhibitori,"CDKN1B (Cyclin Dependent Kinase Inhibitor 1B) Ингибитор киназ, регулирующих клеточный цикл",CDKN1B (Cyclin Dependent Kinase Inhibitor 1B) Inhibitor of kinases that regulate the cell cycle
