Codes;Eng;Ru;Uzb
447114004;12 lead ECG during exercise;12-канальная ЭКГ при физической нагрузке;Jismoniy yuklama vaqtida 12 kanalli EKG
252479008;12-minute walk test;12-минутный тест ходьбы;12 daqiqalik yurish testi
313545000;120 minute blood glucose measurement;Измерение глюкозы крови через 120 минут;120-daqiqada qonda glyukoza miqdorini o‘lchash
313923008;120 minute plasma FSH measurement;Измерение ФСГ в плазме через 120 минут;120-daqiqada plazmada FSH miqdorini o‘lchash
313876004;120 minute plasma GH measurement;Измерение гормона роста в плазме через 120 минут;120-daqiqada plazmada o‘sish gormoni miqdorini o‘lchash
313896007;120 minute plasma LH measurement;Измерение ЛГ в плазме через 120 минут;120-daqiqada plazmada LH miqdorini o‘lchash
313884000;120 minute plasma TSH measurement;Измерение ТТГ в плазме через 120 минут;120-daqiqada plazmada TSH miqdorini o‘lchash
313719006;120 minute plasma cortisol measurement;Измерение кортизола в плазме через 120 минут;120-daqiqada plazmada kortizol miqdorini o‘lchash
313627007;120 minute plasma glucose measurement;Измерение глюкозы в плазме через 120 минут;120-daqiqada plazmada glyukoza miqdorini o‘lchash
313892009;120 minute plasma prolactin measurement;Измерение пролактина в плазме через 120 минут;120-daqiqada plazmada prolaktin miqdorini o‘lchash
313985003;120 minute serum FSH measurement;Измерение ФСГ в сыворотке через 120 минут;120-daqiqada zardobda FSH miqdorini o‘lchash
313926000;120 minute serum GH measurement;Измерение гормона роста в сыворотке через 120 минут;120-daqiqada zardobda o‘sish gormoni miqdorini o‘lchash
313894005;120 minute serum LH measurement;Измерение ЛГ в сыворотке через 120 минут;120-daqiqada zardobda LH miqdorini o‘lchash
313717008;120 minute serum cortisol measurement;Измерение кортизола в сыворотке через 120 минут;120-daqiqada zardobda kortizol miqdorini o‘lchash
313631001;120 minute serum glucose measurement;Измерение глюкозы в сыворотке через 120 минут;120-daqiqada zardobda glyukoza miqdorini o‘lchash
313912009;120 minute serum prolactin measurement;Измерение пролактина в сыворотке через 120 минут;120-daqiqada zardobda prolaktin miqdorini o‘lchash
408652004;13C urea breath test;Дыхательный тест с мочевиной 13C;13C urea nafas testi
3,5161E+13;14 day ambulatory ECG monitoring;14-дневный амбулаторный мониторинг ЭКГ;14 kunlik ambulator EKG monitoringi
429163003;15 lead ECG monitoring;Мониторинг ЭКГ с 15 отведениями;15 kanalli EKG monitoringi
313624000;150 minute blood glucose measurement;Измерение глюкозы крови через 150 минут;150-daqiqada qonda glyukoza miqdorini o‘lchash
313901009;150 minute plasma FSH measurement;Измерение ФСГ в плазме через 150 минут;150-daqiqada plazmada FSH miqdorini o‘lchash
313916007;150 minute plasma GH measurement;Измерение гормона роста в плазме через 150 минут;150-daqiqada plazmada o‘sish gormoni miqdorini o‘lchash
313897003;150 minute plasma LH measurement;Измерение ЛГ в плазме через 150 минут;150-daqiqada plazmada LH miqdorini o‘lchash
313885004;150 minute plasma TSH measurement;Измерение ТТГ в плазме через 150 минут;150-daqiqada plazmada TSH miqdorini o‘lchash
313722008;150 minute plasma cortisol measurement;Измерение кортизола в плазме через 150 минут;150-daqiqada plazmada kortizol miqdorini o‘lchash
313628002;150 minute plasma glucose measurement;Измерение глюкозы в плазме через 150 минут;150-daqiqada plazmada glyukoza miqdorini o‘lchash
313919000;150 minute plasma prolactin measurement;Измерение пролактина в плазме через 150 минут;150-daqiqada plazmada prolaktin miqdorini o‘lchash
313900005;150 minute serum FSH measurement;Измерение ФСГ в сыворотке через 150 минут;150-daqiqada zardobda FSH miqdorini o‘lchash
313931003;150 minute serum GH measurement;Измерение гормона роста в сыворотке через 150 минут;150-daqiqada zardobda o‘sish gormoni miqdorini o‘lchash
313895006;150 minute serum LH measurement;Измерение ЛГ в сыворотке через 150 минут;150-daqiqada zardobda LH miqdorini o‘lchash
313718003;150 minute serum cortisol measurement;Измерение кортизола в сыворотке через 150 минут;150-daqiqada zardobda kortizol miqdorini o‘lchash
313810002;150 minute serum glucose measurement;Измерение глюкозы в сыворотке через 150 минут;150-daqiqada zardobda glyukoza miqdorini o‘lchash
313889005;150 minute serum prolactin measurement;Измерение пролактина в сыворотке через 150 минут;150-daqiqada zardobda prolaktin miqdorini o‘lchash
71860001;17 Hydroxyprogesterone measurement;Измерение 17-гидроксипрогестерона;17-gidroksiprogesteron miqdorini o‘lchash
39997004;17 Hydroxyprogesterone measurement, amniotic fluid;Измерение 17-гидроксипрогестерона в амниотической жидкости;Amniotik suyuqlikda 17-gidroksiprogesteron miqdorini o‘lchash
41668001;17 Hydroxyprogesterone measurement, serum;Измерение 17-гидроксипрогестерона в сыворотке;Zardobda 17-gidroksiprogesteron miqdorini o‘lchash
9,50141E+14;17 alpha-hydroxylase antibody measurement;Измерение антител к 17-альфа-гидроксилазе;17-alfa-gidroksilaza antitanalarini o‘lchash
104740006;17-Hydroxyketosteroids measurement;Измерение 17-гидроксикетостероидов;17-gidroksiketosteroidlar miqdorini o‘lchash
104447005;17-Hydroxypregnenolone measurement;Измерение 17-гидроксипрегненолона;17-gidroksipregnenolon miqdorini o‘lchash
27322008;17-Ketogenic steroids measurement;Измерение 17-кетогенных стероидов;17-ketogen steroidlar miqdorini o‘lchash
104765008;17-Ketosteroids measurement;Измерение 17-кетостероидов;17-ketosteroidlar miqdorini o‘lchash
71413001;17-Ketosteroids measurement, fractionation, urine;Фракционное определение 17-кетостероидов в моче;Siydikda 17-ketosteroidlarni fraksiyalab aniqlash
104766009;17-Ketosteroids measurement, total;Общее измерение 17-кетостероидов;17-ketosteroidlarning umumiy miqdorini o‘lchash
104739009;17-hydroxycorticosteroid measurement;Измерение 17-гидроксикортикостероидов;17-gidroksikortikosteroidlar miqdorini o‘lchash
425808002;18 lead ECG monitoring;Мониторинг ЭКГ с 18 отведениями;18 kanalli EKG monitoringi
104770001;18-Hydroxycorticosterone measurement;Измерение 18-гидроксикортикостерона;18-gidroksikortikosteron miqdorini o‘lchash
121362002;18-Hydroxycortisol measurement;Измерение 18-гидроксикортизола;18-gidroksikortizol miqdorini o‘lchash
121363007;18-Hydroxydeoxycorticosterone measurement;Измерение 18-гидроксидезоксикортикостерона;18-gidroksidezoksikortikosteron miqdorini o‘lchash
104769002;18-hydroxy-corticosteroids measurement;Измерение 18-гидроксикортикостероидов;18-gidroksikortikosteroidlar miqdorini o‘lchash
313902002;180 minute plasma GH measurement;Измерение гормона роста в плазме через 180 минут;180-daqiqada plazmada o‘sish gormoni miqdorini o‘lchash
313908003;180 minute plasma cortisol measurement;Измерение кортизола в плазме через 180 минут;180-daqiqada plazmada kortizol miqdorini o‘lchash
313932005;180 minute serum GH measurement;Измерение гормона роста в сыворотке через 180 минут;180-daqiqada zardobda o‘sish gormoni miqdorini o‘lchash
313906004;180 minute serum cortisol measurement;Измерение кортизола в сыворотке через 180 минут;180-daqiqada zardobda kortizol miqdorini o‘lchash
104641002;2,3-diphosphoglycerate measurement;Измерение 2,3-дифосфоглицерата;2,3-difosfoglitserat miqdorini o‘lchash
8611000;2,3-diphosphoglycerate measurement, erythrocytes;Измерение 2,3-дифосфоглицерата в эритроцитах;Eritrotsitlarda 2,3-difosfoglitserat miqdorini o‘lchash
105042001;2,4 toluenediamine measurement;Измерение 2,4-толуолдиамина;2,4-toluendiamin miqdorini o‘lchash
121365000;2,4-Dichlorophenoxyacetate measurement;Измерение 2,4-дихлорфеноксиацетата;2,4-dixlorfenoksiatsetat miqdorini o‘lchash
121366004;2,4-Dinitrophenylhydrazine measurement;Измерение 2,4-динитрофенилгидразина;2,4-dinitrofenilgidrazin miqdorini o‘lchash
121367008;2,5-Hexanedione measurement;Измерение 2,5-гександиона;2,5-geksandion miqdorini o‘lchash
105043006;2,6 toluenediamine measurement;Измерение 2,6-толуолдиамина;2,6-toluendiamin miqdorini o‘lchash
121368003;2-Aminoadipate measurement;Измерение 2-аминоадипата;2-aminoadipat miqdorini o‘lchash
121753001;2-Aminobutyrate measurement;Измерение 2-аминобутирата;2-aminobutirat miqdorini o‘lchash
121357003;2-Butanol measurement;Измерение 2-бутанола;2-butanol miqdorini o‘lchash
121801001;2-Ethyl-3-hydroxypropionate measurement;Измерение 2-этил-3-гидроксипропионата;2-etil-3-gidroksipropionat miqdorini o‘lchash
121875006;2-Hexanol measurement;Измерение 2-гексанола;2-geksanol miqdorini o‘lchash
121876007;2-Hydroxy-3-methylvalerate measurement;Измерение 2-гидрокси-3-метилвалерата;2-gidroksi-3-metilvalerat miqdorini o‘lchash
121877003;2-Hydroxyadipate measurement;Измерение 2-гидроксиадипата;2-gidroksiadipat miqdorini o‘lchash
121878008;2-Hydroxybutyrate measurement;Измерение 2-гидроксибутирата;2-gidroksibutirat miqdorini o‘lchash
121879000;2-Hydroxyglutarate measurement;Измерение 2-гидроксиглутарата;2-gidroksiglutrat miqdorini o‘lchash
121880002;2-Hydroxyisocaproate measurement;Измерение 2-гидроксиизокапроата;2-gidroksiizokaproat miqdorini o‘lchash
121881003;2-Hydroxyisovalerate measurement;Измерение 2-гидроксиизовалерата;2-gidroksiizovalerat miqdorini o‘lchash
117707004;2-Methoxy-2-methylpropane measurement;Измерение 2-метокси-2-метилпропана;2-metoksi-2-metilpropan miqdorini o‘lchash
121733000;2-Methoxyethanol measurement;Измерение 2-метоксиэтанола;2-metoksietanol miqdorini o‘lchash
121882005;2-Methyl,3-hydroxybutyrate measurement;Измерение 2-метил-3-гидроксибутирата;2-metil-3-gidroksibutirat miqdorini o‘lchash
117708009;2-Methylpentane measurement;Измерение 2-метилпентана;2-metilpentan miqdorini o‘lchash
121885007;2-Oxo,3-methylvalerate measurement;Измерение 2-оксо-3-метилвалерата;2-okso-3-metilvalerat miqdorini o‘lchash
121886008;2-Oxoadipate measurement;Измерение 2-оксоадипата;2-oksoadipat miqdorini o‘lchash
121888009;2-Oxoisovalerate measurement;Измерение 2-оксизовалерата;2-oksoizovalerat miqdorini o‘lchash
104448000;2-hydroxybutyrate dehydrogenase measurement;Измерение дегидрогеназы 2-гидроксибутирата;2-gidroksibutirat degidrogenaza miqdorini o‘lchash
121884006;2-methylcitrate measurement;Измерение 2-метилцитрата;2-metilsitrat miqdorini o‘lchash
1156151000168108;2-minute walk test;2-минутный тест ходьбы;2 daqiqalik yurish testi
105044000;2-oxoisocaproate measurement;Измерение 2-оксоизокапроата;2-oksoizokaproat miqdorini o‘lchash
105045004;2-pyridone measurement;Измерение 2-пиридона;2-piridon miqdorini o‘lchash
105046003;2-pyridone/n'-methylnicotinamide ratio measurement;Измерение соотношения 2-пиридон/N'-метилникотинамида;2-piridon/N'-metilnikotinamid nisbatini o‘lchash
781637006;2-sulfanylidene-1,3-thiazolidine-4-carboxylic acid measurement;Измерение 2-сульфанилиден-1,3-тиазолидин-4-карбоновой кислоты;2-sulfanyliden-1,3-tiazolidin-4-karboksil kislotasi miqdorini o‘lchash
104449008;20-Hydroxyprogesterone measurement;Измерение 20-гидроксипрогестерона;20-gidroksiprogesteron miqdorini o‘lchash
313903007;210 minute plasma GH measurement;Измерение гормона роста в плазме через 210 минут;210-daqiqada plazmada o‘sish gormoni miqdorini o‘lchash
313976003;210 minute plasma cortisol measurement;Измерение кортизола в плазме через 210 минут;210-daqiqada plazmada kortizol miqdorini o‘lchash
313904001;210 minute serum GH measurement;Измерение гормона роста в сыворотке через 210 минут;210-daqiqada zardobda o‘sish gormoni miqdorini o‘lchash
313925001;210 minute serum cortisol measurement;Измерение кортизола в сыворотке через 210 минут;210-daqiqada zardobda kortizol miqdorini o‘lchash
252417001;24 Hour ECG;24-часовая ЭКГ;24 soatlik EKG
408268003;24 hour Bence-Jones screening test;24-часовой скрининговый тест на белок Бенс-Джонса;24 soatlik Bens-Jons oqsili skrining testi
241427004;24 hour diphosphonate retention study;24-часовое исследование удержания дифосфонатов;24 soatlik difosfonat ushlanishini o‘rganish
12455009;24 hour faeces calcium measurement;Измерение кальция в кале за 24 часа;24 soatlik najasda kalsiy miqdorini o‘lchash
442763004;24 hour faeces chloride measurement;Измерение хлоридов в кале за 24 часа;24 soatlik najasda xlorid miqdorini o‘lchash
446460000;24 hour oesophageal pH study;24-часовое исследование pH пищевода;24 soatlik qizilo‘ngach pH tekshiruvi
764977005;24 hour radionuclide imaging of whole body using radioisotope labelled human immunoglobulin G;24-часовая радионуклидная визуализация всего тела с использованием радиоизотопно-меченного человеческого иммуноглобулина G;Radioizotop bilan belgilangan inson immunoglobulin G yordamida 24 soatlik butun tana radionuklid tasvirlash
225310007;24 hour supervision;24-часовое наблюдение;24 soatlik kuzatuv
394951002;24 hour urine 3-methoxytyramine output;Выделение 3-метокситираминa с мочой за 24 часа;24 soatlik siydikda 3-metoksitiramin ajralishini o‘lchash
391373001;24 hour urine 5-aminolevulinic acid output;Выделение 5-аминолевулиновой кислоты с мочой за 24 часа;24 soatlik siydikda 5-aminolevulin kislota ajralishini o‘lchash
313824003;24 hour urine 5-hydroxyindole acetic acid output measurement;Измерение выделения 5-гидроксииндолуксусной кислоты с мочой за 24 часа;24 soatlik siydikda 5-gidroksiindolsirka kislota ajralishini o‘lchash
313593006;24 hour urine adrenaline output measurement;Измерение выделения адреналина с мочой за 24 часа;24 soatlik siydikda adrenalin ajralishini o‘lchash
313502007;24 hour urine albumin output measurement;Измерение выделения альбумина с мочой за 24 часа;24 soatlik siydikda albumin ajralishini o‘lchash
391540009;24 hour urine aldosterone output;Выделение альдостерона с мочой за 24 часа;24 soatlik siydikda aldosteron ajralishini o‘lchash
933451451000036108;24 hour urine alpha-1-microglobulin measurement;Измерение альфа-1-микроглобулина в моче за 24 часа;24 soatlik siydikda alfa-1-mikroglobulin miqdorini o‘lchash
1727151000168104;24 hour urine ammonia measurement;Измерение аммиака в моче за 24 часа;24 soatlik siydikda ammiak miqdorini o‘lchash
313515003;24 hour urine amylase output measurement;Измерение выделения амилазы с мочой за 24 часа;24 soatlik siydikda amilaza ajralishini o‘lchash
391356003;24 hour urine androstenedione output;Выделение андростендиона с мочой за 24 часа;24 soatlik siydikda androstenedion ajralishini o‘lchash
933315921000036109;24 hour urine antimony measurement;Измерение сурьмы в моче за 24 часа;24 soatlik siydikda surma miqdorini o‘lchash
391357007;24 hour urine arsenic output;Выделение мышьяка с мочой за 24 часа;24 soatlik siydikda mishyak miqdorini o‘lchash
933316431000036105;24 hour urine barium measurement;Измерение бария в моче за 24 часа;24 soatlik siydikda bariy miqdorini o‘lchash
933315911000036102;24 hour urine beryllium measurement;Измерение бериллия в моче за 24 часа;24 soatlik siydikda berilliy miqdorini o‘lchash
1743811000168101;24 hour urine boron measurement;Измерение бора в моче за 24 часа;24 soatlik siydikda bor miqdorini o‘lchash
313492004;24 hour urine calcium output measurement;Измерение выделения кальция с мочой за 24 часа;24 soatlik siydikda kalsiy ajralishini o‘lchash
313929007;24 hour urine catecholamine output measurement;Измерение выделения катехоламинов с мочой за 24 часа;24 soatlik siydikda katexolaminlar ajralishini o‘lchash
412804007;24 hour urine chloride output;Выделение хлоридов с мочой за 24 часа;24 soatlik siydikda xlorid ajralishini o‘lchash
313460000;24 hour urine citrate output measurement;Измерение выделения цитрата с мочой за 24 часа;24 soatlik siydikda sitrat ajralishini o‘lchash
313934006;24 hour urine copper output measurement;Измерение выделения меди с мочой за 24 часа;24 soatlik siydikda mis ajralishini o‘lchash
313516002;24 hour urine cortisol output measurement;Измерение выделения кортизола с мочой за 24 часа;24 soatlik siydikda kortizol ajralishini o‘lchash
313676001;24 hour urine dopamine output measurement;Измерение выделения дофамина с мочой за 24 часа;24 soatlik siydikda dopamin ajralishini o‘lchash
401261001;24 hour urine electrolytes measurement;Измерение электролитов в моче за 24 часа;24 soatlik siydikda elektrolitlar miqdorini o‘lchash
313968000;24 hour urine free adrenaline output measurement;Измерение выделения свободного адреналина с мочой за 24 часа;24 soatlik siydikda erkin adrenalin ajralishini o‘lchash
313970009;24 hour urine free dopamine output measurement;Измерение выделения свободного дофамина с мочой за 24 часа;24 soatlik siydikda erkin dopamin ajralishini o‘lchash
313969008;24 hour urine free noradrenaline output measurement;Измерение выделения свободного норадреналина с мочой за 24 часа;24 soatlik siydikda erkin noradrenalin ajralishini o‘lchash
933650571000036106;24 hour urine histamine measurement;Измерение гистамина в моче за 24 часа;24 soatlik siydikda gistamin miqdorini o‘lchash
390944003;24 hour urine homovanillic acid output;Выделение гомованилиновой кислоты с мочой за 24 часа;24 soatlik siydikda gomovanil kislota ajralishini o‘lchash
391372006;24 hour urine homovanillylmandelic acid output;Выделение гомованилминдальной кислоты с мочой за 24 часа;24 soatlik siydikda vanilmandel kislota ajralishini o‘lchash
933483791000036100;24 hour urine indium measurement;Измерение индия в моче за 24 часа;24 soatlik siydikda indiy miqdorini o‘lchash
933483781000036102;24 hour urine iodine measurement;Измерение йода в моче за 24 часа;24 soatlik siydikda yod miqdorini o‘lchash
313532004;24 hour urine iron output measurement;Измерение выделения железа с мочой за 24 часа;24 soatlik siydikda temir ajralishini o‘lchash
391482006;24 hour urine lead output;Выделение свинца с мочой за 24 часа;24 soatlik siydikda qo‘rg‘oshin ajralishini o‘lchash
313675002;24 hour urine magnesium output measurement;Измерение выделения магния с мочой за 24 часа;24 soatlik siydikda magniy ajralishini o‘lchash
7,33891E+14;24 hour urine manganese measurement;Измерение марганца в моче за 24 часа;24 soatlik siydikda marganes miqdorini o‘lchash
409091002;24 hour urine measurement;Измерение мочи за 24 часа;24 soatlik siydik hajmini o‘lchash
390946001;24 hour urine metadrenaline output;Выделение метадреналина с мочой за 24 часа;24 soatlik siydikda metadrenalin ajralishini o‘lchash
933506181000036100;24 hour urine molybdenum measurement;Измерение молибдена в моче за 24 часа;24 soatlik siydikda molibden miqdorini o‘lchash
391358002;24 hour urine nickel output;Выделение никеля с мочой за 24 часа;24 soatlik siydikda nikel ajralishini o‘lchash
313552003;24 hour urine noradrenaline output measurement;Измерение выделения норадреналина с мочой за 24 часа;24 soatlik siydikda noradrenalin ajralishini o‘lchash
390947005;24 hour urine normetadrenaline output;Выделение норметадреналина с мочой за 24 часа;24 soatlik siydikda normetadrenalin ajralishini o‘lchash
1753561000168102;24 hour urine osmolality urine measurement;Измерение осмоляльности мочи за 24 часа;24 soatlik siydikning osmolyaligini o‘lchash
313945009;24 hour urine oxalate output measurement;Измерение выделения оксалатов с мочой за 24 часа;24 soatlik siydikda oksalat ajralishini o‘lchash
412806009;24 hour urine paraprotein output;Выделение парапротеина с мочой за 24 часа;24 soatlik siydikda paraprotein ajralishini o‘lchash
313935007;24 hour urine phosphate output measurement;Измерение выделения фосфатов с мочой за 24 часа;24 soatlik siydikda fosfat ajralishini o‘lchash
933506111000036108;24 hour urine platinum measurement;Измерение платины в моче за 24 часа;24 soatlik siydikda platina miqdorini o‘lchash
391359005;24 hour urine porphobilinogen output;Выделение порфобилиногена с мочой за 24 часа;24 soatlik siydikda porfobilinogen ajralishini o‘lchash
390945002;24 hour urine porphyrin output;Выделение порфиринов с мочой за 24 часа;24 soatlik siydikda porfirin ajralishini o‘lchash
313658008;24 hour urine potassium output measurement;Измерение выделения калия с мочой за 24 часа;24 soatlik siydikda kaliy ajralishini o‘lchash
9,41861E+14;24 hour urine protein electrophoresis measurement;Измерение электрофореза белка мочи за 24 часа;24 soatlik siydikda oqsil elektroforezini aniqlash
271068005;24 hour urine sample volume measurement;Измерение объёма образца мочи за 24 часа;24 soatlik siydik namunasi hajmini o‘lchash
413013000;24 hour urine screening for urinary stone formation measurement;Скрининговое исследование мочи за 24 часа на камнеобразование;24 soatlik siydikda siydik toshi hosil bo‘lishi uchun skrining tekshiruvi
9,36821E+14;24 hour urine selenium measurement;Измерение селена в моче за 24 часа;24 soatlik siydikda selen miqdorini o‘lchash
9,42241E+14;24 hour urine serotonin measurement;Измерение серотонина в моче за 24 часа;24 soatlik siydikda serotonin miqdorini o‘lchash
1038171000168109;24 hour urine silver measurement;Измерение серебра в моче за 24 часа;24 soatlik siydikda kumush miqdorini o‘lchash
313691004;24 hour urine sodium output measurement;Измерение выделения натрия с мочой за 24 часа;24 soatlik siydikda natriy ajralishini o‘lchash
933650301000036107;24 hour urine steroid profile;Стероидный профиль мочи за 24 часа;24 soatlik siydik steroid profili
933506471000036106;24 hour urine strontium measurement;Измерение стронция в моче за 24 часа;24 soatlik siydikda stronsiy miqdorini o‘lchash
933506571000036107;24 hour urine tin measurement;Измерение олова в моче за 24 часа;24 soatlik siydikda qalay miqdorini o‘lchash
933506531000036105;24 hour urine titanium measurement;Измерение титана в моче за 24 часа;24 soatlik siydikda titan miqdorini o‘lchash
313663007;24 hour urine urate output measurement;Измерение выделения уратов с мочой за 24 часа;24 soatlik siydikda urat ajralishini o‘lchash
313591008;24 hour urine urea output measurement;Измерение выделения мочевины с мочой за 24 часа;24 soatlik siydikda mochevina ajralishini o‘lchash
7,19431E+14;24 hour urine vanadium measurement;Измерение ванадия в моче за 24 часа;24 soatlik siydikda vanadiy miqdorini o‘lchash
413005001;24 hour urine vanillylmandelic acid output measurement;Измерение выделения ванилилминдальной кислоты с мочой за 24 часа;24 soatlik siydikda vanilmandel kislota ajralishini o‘lchash
1074121000168102;24 hour urine vitamin B3 measurement;Измерение витамина B3 в моче за 24 часа;24 soatlik siydikda vitamin B3 miqdorini o‘lchash
7,20041E+14;24 hour urine zinc measurement;Измерение цинка в моче за 24 часа;24 soatlik siydikda rux miqdorini o‘lchash
170599006;24 hr blood pressure monitoring;24-часовой мониторинг артериального давления;24 soatlik arterial qon bosimini monitoring qilish
933483521000036109;24 hr urine cobalt measurement;Измерение кобальта в моче за 24 часа;24 soatlik siydikda kobalt miqdorini o‘lchash
313924002;240 minute plasma GH measurement;Измерение гормона роста в плазме через 240 минут;240-daqiqada plazmada o‘sish gormoni miqdorini o‘lchash
313909006;240 minute plasma cortisol measurement;Измерение кортизола в плазме через 240 минут;240-daqiqada plazmada kortizol miqdorini o‘lchash
440576000;240 minute plasma glucose measurement;Измерение глюкозы в плазме через 240 минут;240-daqiqada plazmada glyukoza miqdorini o‘lchash
313905000;240 minute serum GH measurement;Измерение гормона роста в сыворотке через 240 минут;240-daqiqada zardobda o‘sish gormoni miqdorini o‘lchash
313907008;240 minute serum cortisol measurement;Измерение кортизола в сыворотке через 240 минут;240-daqiqada zardobda kortizol miqdorini o‘lchash
412931006;24hr urine arginine output measurement;Измерение выделения аргинина с мочой за 24 часа;24 soatlik siydikda arginin ajralishini o‘lchash
412929002;24hr urine lysine output measurement;Измерение выделения лизина с мочой за 24 часа;24 soatlik siydikda lizin ajralishini o‘lchash
412927000;24hr urine ornithine output measurement;Измерение выделения орнитина с мочой за 24 часа;24 soatlik siydikda ornitin ajralishini o‘lchash
271079000;3 day faecal fat estimation;Определение жира в кале за 3 дня;3 kun davomida najasdagi yog‘ miqdorini aniqlash
428803005;3 lead ECG monitoring;Мониторинг ЭКГ в 3 отведениях;3 o‘tkazgichli EKG monitoringi
121891009;3-Aminoisobutyrate measurement;Измерение 3-аминоизобутирата;3-aminoizobutirat miqdorini o‘lchash
121893007;3-Hydroxy,3-methylglutarate measurement;Измерение 3-гидрокси-3-метилглутарата;3-gidroksi-3-metilglutarat miqdorini o‘lchash
121287007;3-Hydroxyadipate measurement;Измерение 3-гидроксиадипата;3-gidroksiadipat miqdorini o‘lchash
121289005;3-Hydroxybutyrate measurement;Измерение 3-гидроксибутирата;3-gidroksibutirat miqdorini o‘lchash
121290001;3-Hydroxydodecanedioate measurement;Измерение 3-гидроксидодекандиоата;3-gidroksidodekandioat miqdorini o‘lchash
121291002;3-Hydroxyglutarate measurement;Измерение 3-гидроксиглутарата;3-gidroksiglutarat miqdorini o‘lchash
121292009;3-Hydroxyisobutyrate measurement;Измерение 3-гидроксиизобутирата;3-gidroksiizobutirat miqdorini o‘lchash
121293004;3-Hydroxyisovalerylcarnitine measurement;Измерение 3-гидроксиизовалерилкарнитина;3-gidroksiizovalerilkarnitin miqdorini o‘lchash
121294005;3-Hydroxylinoleoylcarnitine measurement;Измерение 3-гидроксилинолеоилкарнитина;3-gidroksilinoleoilkarnitin miqdorini o‘lchash
