A01AC	A01AD06	Adrenalon	Адреналон							
A01AC	A01AD07	Amleksanoks	Амлексанокс							
A01AC	A01AD08	Bekaplermin	Бекаплермин							
A01AC	A01AD11	Boshqa preparatlar	Прочие препараты							
A	A02	Kislotali muhit buzilishi bilan bogʻliq kasalliklarni davolash uchun preparatlar	Препараты для лечения заболеваний связанных с нарушением кислотности							
A02	A02A	Antatsidlar	Антациды							
A02A	A02AA	Magniy birikmalari	Соединения магния							
A02AA	A02AA01	Magniy karbonati	Магния карбонат							
A02AA	A02AA02	Magniy oksidi	Магния оксид							
A02AA	A02AA03	Magniy peroksidi	Магния пероксид							
A02AA	A02AA04	Magniy gidroksidi	Магния гидроксид							
A02AA	A02AA05	Magniy silikati	Магния силикат							
A02AA	A02AA10	Magniy preparatlari boshqa vositalar bilan majmuada	Препараты магния В комбинации со средствами							
A02A	A02AB	Alyuminiy birikmalari	Соединения алюминия							
A02AB	A02AB01	Alyuminiy gidroksidi	Алюминия гидроксид							
A02AB	A02AB02	Algeldrat	Алгелдрат							
A02AB	A02AB03	Alyuminiy fosfati	Алюминия фосфат							
A02AB	A02AB04	Karbaldrat	Карбалдрат							
A02AB	A02AB05	Alyuminiy atsetoatsetati	Алюминия ацетоацетат							
A02AB	A02AB06	Aloglutamol	Алоглутамол							
A02AB	A02AB07	Alyuminiy glitsinati	Алюминия глицинат							
A02AB	A02AB10	Alyuminiy preparatlari boshqa vositalar bilan majmuada	Препараты алюминия в комбинации со средствами							
A02A	A02AC	Kalsiy birikmalari	Соединения кальция							
A02AC	A02AC01	Kalsiy karbonati	Кальция карбонат							
A02AC	A02AC02	Kalsiy silikati	Кальция силикат							
A02AC	A02AC10	Kalsiy preparatlari boshqa  vositalar bilan majmuada	Препараты кальция в комбинации со средствами							
A02A	A02AD	Alyuminiy, kalsiy va magniyning majmuaviy va kompleks preparatlari	Комбинированные и комплексные препараты алюминия, кальция и магния							
A02AD	A02AD01	Tuzlarning oddiy birikmasi	Простое сочетание солей							
A02AD	A02AD02	Magaldrat	Магалдрат							
A02AD	A02AD03	Almagat	Алмагат							
A02AD	A02AD04	Gidrotalsit	Гидроталцит							
A02AD	A02AD05	Almasilat	Алмасилат							
A02A	A02AF	Antatsidlar yel haydovchi vositalar bilan majmuada	Антациды в комбинации с ветрогонными средствами							
A02AF	A02AF01	Magaldrat yel haydovchi vositalar bilan majmuada	Магалдрат в комбинации с ветрогонными средствами							
A02AF	A02AF02	Tuzlarning oddiy birikmasi yel haydovchi vositalar bilan majmuada	Простое сочетание солей в комбинации с ветрогонными средствами							
A02	A02B	Meʼda va oʻn ikki barmoqli ichak yara kasalligi va gastroezofageal reflyuks kasalligini (GERK)  davolash uchun preparatlar	Препараты для лечения язвенной болезни желудка и двенадцатиперстной кишки и гастроэзофагеальной рефлюксной болезни (ГЭРБ)							
A02B	A02BA	H2-gistamin retseptorlar blokatorlari	Блокаторы Н2-гистаминовых рецепторов							
A02BA	A02BA01	Simetidin	Циметидин							
A02BA	A02BA02	Ranitidin	Ранитидин							
A02BA	A02BA03	Famotidin	Фамотидин							
A02BA	A02BA04	Nizatidin	Низатидин							
A02BA	A02BA05	Niperotidin	Ниперотидин							
A02BA	A02BA06	Roksatidin	Роксатидин							
A02BA	A02BA07	Ranitidin vismut sitrati	Ранитидина висмута цитрат							
A02BA	A02BA08	Lafutidin	Лафутидин							
A02BA	A02BA51	Simetidin boshqa vositalar bilan majmuada	Циметидин в комбинации со средствами							
A02BA	A02BA53	Famotidin boshqa vositalar bilan majmuada	Фамотидин в комбинации со средствами							
A02B	A02BB	Prostaglandinlar	Простагландины							
A02BB	A02BB01	Mizoprostol	Мизопростол							
A02BB	A02BB02	Enprostil	Энпростил							
A02B	A02BC	Proton nasos ingibitorlari	Ингибиторы протонного насоса							
A02BC	A02BC01	Omeprazol	Омепразол							
A02BC	A02BC02	Pantoprazol	Пантопразол							
A02BC	A02BC03	Lansoprazol	Лансопразол							
A02BC	A02BC04	Rabeprazol	Рабепразол							
A02BC	A02BC05	Ezomeprazol	Эзомепразол							
A02BC	A02BC06	Dekslansoprazol	Декслансопразол							
A02BC	A02BC07	Deksrabeprazol	Декcрабепразол							
A02BC	A02BC53	Lansoprazol boshqa vositalar bilan majmuada	Лансопразол в комбинации со средствами							
A02BC	A02BC54	Rabeprazol boshqa vositalar bilan majmuada	Рабепразол в комбинации со средствами							
A02B	A02BD	Xelikobakter pilori eradikatsiyasi uchun majmuaviy preparatlar	Комбинированные препараты для эрадикации хеликобактер пилори							
A02BD	A02BD01	Omeprazol ,amoksitsillin va metronidazol	Омепразол ,амоксициллин и метронидазол							
A02BD	A02BD02	Lansoprazol, tetratsiklin va metronidazol	Лансопразол, тетрациклин и метронидазол							
A02BD	A02BD03	Lansoprazol, amoksitsillin va metronidazol	Лансопразол, амоксициллин и метронидазол							
A02BD	A02BD04	Pantoprazol, amoksitsillin va klaritromitsin	Пантопразол, амоксициллин и кларитромицин							
A02BD	A02BD05	Omeprazol ,amoksitsillin va klaritromitsin	Омепразол ,амоксициллин и кларитромицин							
A02BD	A02BD06	Ezomeprazol ,amoksitsillin va klaritromitsin	Эзомепразол ,амоксициллин и кларитромицин							
A02BD	A02BD07	Lansoprazol, amoksitsillin va klaritromitsin	Лансопразол, амоксициллин и кларитромицин							
A02BD	A02BD08	Vismuta subsitrat, Tetratsiklin va Metronidazol	Висмута субцитрат, Тетрациклин и Метронидазол							
A02BD	A02BD09	Lansoprazol, klaritromitsin va tinidazol	Лансопразол, кларитромицин и тинидазол							
A02BD	A02BD10	Lansoprazol, amoksitsillin va levofloksatsin	Лансопразол, амоксициллин и левофлоксацин							
A02BD	A02BD11	Pantoprazol, amoksitsillin, klaritromitsin va metronidazol	Пантопразол, амоксициллин, кларитромицин и метронидазол							
A02B	A02BX	Meʼda va oʻn ikki barmoqli ichak yara kasalligi va GERKni davolash uchun boshqa preparatlar	Другие препараты для лечения язвенной болезни желудка и двенадцатиперстной кишки и ГЭРБ							
A02BX	A02BX01	Karbenoksolon	Карбеноксолон							
A02BX	A02BX02	Sukralfat	Сукральфат							
A02BX	A02BX03	Pirenzepin	Пирензепин							
A02BX	A02BX04	Metiosulfoniy xloridi	Метиосульфония хлорид							
A02BX	A02BX05	Vismut trikaliy ditsitrati	Висмута трикалия дицитрат							
A02BX	A02BX06	Proglumid	Проглумид							
A02BX	A02BX07	Gefarnat	Гефарнат							
A02BX	A02BX08	Sulglikotid	Сульгликотид							
A02BX	A02BX09	Asetoksolon	Ацетоксолон							
A02BX	A02BX10	Zolimidin	Золимидин							
A02BX	A02BX11	Troksipid	Троксипид							
A02BX	A02BX12	Vismut subnitrati	Висмута субнитрат							
A02BX	A02BX13	Algin kislotasi	Альгиновая кислота							
A02BX	A02BX51	Karbenoksolon boshqa vositalar bilan majmuada (psixotrop preparatlardan tashqari)	Карбеноксолон в комбинации со средствами (исключая психотропные препараты)							
A02BX	A02BX71	Karbenoksolon psixotrop vositalar bilan majmuada	Карбеноксолон в комбинации с психотропными средствами							
A02BX	A02BX77	Gefarnat psixotrop vositalar bilan majmuada	Гефарнат в комбинации с психотропными средствами							
A	A03	Meʼda - ichak yoʻllari funksional buzilishlarini davolash uchun preparatlar	Препараты для лечения функциональных нарушений желудочно-кишечного тракта							
A03	A03A	Meʼda - ichak yoʻllari funksional buzilishlarini davolash uchun preparatlar	Препараты для лечения функциональных нарушений желудочно-кишечного тракта							
A03A	A03AA	Sintetik antixolinergik vositalar, uchlamchi aminoguruh efirlari bilan	Синтетические антихолинергические средства, эфиры с третичной аминогруппой							
A03AA	A03AA01	Oksifensiklimin	Оксифенциклимин							
A03AA	A03AA03	Kamilofin	Камилофин							
A03AA	A03AA04	Mebeverin	Мебеверин							
A03AA	A03AA05	Trimebutin	Тримебутин							
A03AA	A03AA06	Rotsiverin	Роциверин							
A03AA	A03AA07	Ditsikloverin	Дицикловерин							
A03AA	A03AA08	Digeksiverin	Дигексиверин							
A03AA	A03AA09	Difemerin	Дифемерин							
A03AA	A03AA30	Piperidolat	Пиперидолат							
A03A	A03AB	Sintetik antixolinergik vositalar, toʻrtlamchi ammoniy birikmalari	Синтетические антихолинергические средства, четвертичные аммониевые соединения							
A03AB	A03AB01	Benzilon	Бензилон							
A03AB	A03AB02	Glikopirroniy bromidi	Гликопиррония бромид							
A03AB	A03AB03	Oksifenoniy	Оксифеноний							
A03AB	A03AB04	Pentiyenat	Пентиенат							
A03AB	A03AB05	Propantelin	Пропантелин							
A03AB	A03AB06	Otiloniy bromidi	Отилония бромид							
A03AB	A03AB07	Metantelin	Метантелин							
A03AB	A03AB08	Tridigeksetil	Тридигексетил							
A03AB	A03AB09	Izopropamid	Изопропамид							
A03AB	A03AB10	Geksotsikliy	Гексоциклий							
A03AB	A03AB11	Poldin	Полдин							
A03AB	A03AB12	Mepenzolat	Мепензолат							
A03AB	A03AB13	Bevoniy	Бевоний							
A03AB	A03AB14	Pipenzolat	Пипензолат							
A03AB	A03AB15	Difenamil	Дифенамил							
A03AB	A03AB16	(2-benzgidriloksietil) dietilmetilammoniy yodidi	(2-бензгидрилоксиэтил) диэтилметиламмония йодид							
A03AB	A03AB17	Tiyemoniy yodidi	Тиемония йодид							
A03AB	A03AB18	Prifiniy bromidi	Прифиния бромид							
A03AB	A03AB19	Timepidiy bromidi	Тимепидия бромид							
A03AB	A03AB21	Fenpiveriniy bromidi	Фенпивериния бромид							
A03AB	A03AB53	Oksifenoniy bromidi boshqa vositalar bilan majmuada	Оксифенония бромид в комбинации со средствами							
A03A	A03AC	Sintetik spazmolitiklar, uchlamchi aminoguruh amidlari bilan	Синтетические спазмолитики, амиды с третичной аминогруппой							
A03AC	A03AC02	Dimetilaminopropionilfenotiazin	Диметиламинопропионилфенотиазин							
A03AC	A03AC04	Nikofetamid	Никофетамид							
A03AC	A03AC05	Tiropramid	Тиропрамид							
A03A	A03AD	Papaverin va uning hosilalari	Папаверин и его производные							
A03AD	A03AD01	Papaverin	Папаверин							
A03AD	A03AD02	Drotaverin	Дротаверин							
A03AD	A03AD30	Moksaverin	Моксаверин							
A03A	A03AE	Serotonin retseptorlar antogonistlari	Антагонисты серотониновых рецепторов							
A03AE	A03AE01	Alosetron	Алосетрон							
A03AE	A03AE03	Silansetron	Цилансетрон							
A03A	A03AX	Meʼda - ichak yoʻllari funksional buzilishlarini davolash uchun boshqa preparatlar	Другие препараты для лечения функциональных нарушений желудочно-кишечного тракта							
A03AX	A03AX01	Fenpipran	Фенпипран							
A03AX	A03AX02	Diizopromin	Диизопромин							
A03AX	A03AX03	Xlorbenzoksamin	Хлорбензоксамин							
A03AX	A03AX04	Pinaveriy bromidi	Пинаверия бромид							
A03AX	A03AX05	Fenoverin	Феноверин							
A03AX	A03AX06	Idanpramin	Иданпрамин							
A03AX	A03AX07	Proksazol	Проксазол							
A03AX	A03AX08	Alverin	Алверин							
A03AX	A03AX09	Trepibuton	Трепибутон							
A03AX	A03AX10	Izometepten	Изометептен							
A03AX	A03AX11	Karoverin	Кароверин							
A03AX	A03AX12	Floroglutsinol	Флороглуцинол							
A03AX	A03AX13	Silikonlar	Силиконы							
A03AX	A03AX14	Valetamat	Валетамат							
A03AX	A03AX30	Trimetildifenilpropilamin	Триметилдифенилпропиламин							
A03AX	A03AX58	Alverin boshqa vositalar bilan majmuada	Алверин в комбинации со средствами							
A03	A03B	Belladonna preparatlari	Препараты белладонны							
A03B	A03BA	Belladonna alkaloidlari, uchlamchi amnlar	Алкалоиды белладонны, третичные амины							
A03BA	A03BA01	Atropin	Атропин							
A03BA	A03BA03	Giossiamin	Гиосциамин							
A03BA	A03BA04	Belladona alkaloid yigʻindisi	Белладонны алкалолидов сумма							
A03B	A03BB	Belladonna yarimsintetik alkaloidlari, toʻrtlamchi ammoniy birikmasi	Полусинтетические алкалоиды белладонны, четвертичные аммониевые соединения							
A03BB	A03BB01	Giossin butilbromidi	Гиосцина бутилбромид							
A03BB	A03BB02	Metilatropin	Метилатропин							
A03BB	A03BB03	Metilskopolamin	Метилскополамин							
A03BB	A03BB04	Fentoniy bromidi	Фентония бромид							
A03BB	A03BB05	Simetropiy bromidi	Циметропия бромид							
A03	A03C	Spazmolitiklar psixotrop vositalar bilan majmuada	Спазмолитики в комбинации с психотропными средствами							
A03C	A03CA	Sintetik antixolinergik vositalar psixotrop vositalar bilan majmuada	Синтетические антихолинергические средства в комбинации с психотропными средствами							
A03CA	A03CA01	Izopropamid psixotrop vositalar bilan majmuada	Изопропамид в комбинации с психотропными средствами							
A03CA	A03CA02	Klinidiy bromidi va psixoleptiklar	Клинидия бромид и психолептиками							
A03CA	A03CA03	Oksifensiklimin va psixoleptiklar	Оксифенциклимин и психолептиками							
A03CA	A03CA04	Otiloniy bromidi va psixoleptiklar	Отилония бромид и психолептиками							
A03CA	A03CA05	Glikopirroniy bromidi va psixoleptiklar	Гликопиррония бромид и психолептиками							
A03CA	A03CA06	Bevoniy metilsulfati va psixoleptiklar	Бевония метилсульфат и психолептиками							
A03CA	A03CA07	Ambutoniy bromidi va psixoleptiklar	Амбутония бромид и психолептиками							
A03CA	A03CA08	Difemanil va psixoleptiklar	Дифеманил и психолептиками							
A03CA	A03CA09	Pinzolatom va psixoleptiklar	Пинзолатом и психолептиками							
A03CA	A03CA30	Emeproniy bromidi va psixoleptiklar	Эмепрония бромид и психолептиками							
A03CA	A03CA34	Propantelin va psixoleptiklar	Пропантелин и психолептиками							
A03C	A03CB	Belladonna preparatlari psixotrop vositalar bilan majmuada	Препараты белладонны в комбинации с психотропными средствами							
A03CB	A03CB01	Metilskopolamin va psixoleptiklar	Метилскополамин и психолептиками							
A03CB	A03CB02	Belladonna alkaloid yigʻmasi va psixoleptiklar	Белладонны алкалоидов сумма и психолептиками							
A03CB	A03CB03	Atropin va psixoleptiklar	Атропин и психолептиками							
A03CB	A03CB04	Metilgomatropin va psixoleptiklar	Метилгоматропин и психолептиками							
A03CB	A03CB31	Giossiamin va psixoleptiklar	Гиосциамин и психолептиками							
A03	A03D	Spazmolitiklar analgetiklar bilan majmuada	Спазмолитики в комбинации с анальгетиками							
A03D	A03DA	Sintetik antixolinergik vositalar analgetiklar bilan majmuada	Синтетические антихолинергические средства в комбинации с анальгетиками							
A03DA	A03DA01	Tropenzilon va analgetiklar	Тропензилон и анальгетики							
A03DA	A03DA02	Pitofenona va analgetiklar	Питофенон и анальгетики							
A03DA	A03DA03	Bevoniy metilsulfati va analgetiklar	Бевония метилсульфат и анальгетики							
A03DA	A03DA04	Sikloniy bromidi va analgetiklar	Циклония бромид и анальгетики							
A03DA	A03DA05	Kamilofin va analgetiklar	Камилофин и анальгетики							
A03DA	A03DA06	Trospiy xloridi va analgetiklar	Троспия хлорид и анальгетики							
A03DA	A03DA07	Tiyemoniy yodidi va analgetiklar	Тиемония йодид и анальгетики							
A03D	A03DB	Belladonna preparatlari analgetiklar bilan majmuada	Препараты белладонны в комбинации с анальгетиками							
A03DB	A03DB04	Butilskopolamin va analgetiklar	Бутилскополамин и анальгетики							
A03	A03F	Meʼda - ichak yoʻllari motorikasini stimulyatorlari	Стимуляторы моторики желудочно-кишечного тракта							
A03F	A03FA	Meʼda - ichak yoʻllari motorikasini stimulyatorlari	Стимуляторы моторики желудочно-кишечного тракта							
A03FA	A03FA01	Metoklopramid	Метоклопрамид							
A03FA	A03FA02	Sizaprid	Цизаприд							
A03FA	A03FA03	Domperidon	Домперидон							
A03FA	A03FA04	Bromoprid	Бромоприд							
A03FA	A03FA05	Alizaprid	Ализаприд							
A03FA	A03FA06	Kleboprid	Клебоприд							
A03FA	A03FA07	Itoprid	Итоприд							
A03FA	A03FA08	Sinitaprid	Цинитаприд							
A	A04	Qusishga va koʻngil aynishiga qarshi preparatlar	Противорвотные и противотошнотные препараты							
A04	A04A	Qusishga va koʻngil aynishiga qarshi preparatlar	Противорвотные и противотошнотные препараты							
A04A	A04AA	Serotonin 5ht3-retseptorlari blokatorlari	Блокаторы серотониновых 5ht3-рецепторов							
A04AA	A04AA01	Ondansetron	Ондансетрон							
A04AA	A04AA02	Granisetron	Гранисетрон							
A04AA	A04AA03	Tropisetron	Трописетрон							
A04AA	A04AA04	Dolasetron	Доласетрон							
A04AA	A04AA05	Palonosetron	Палоносетрон							
A04AA	A04AA55	Palonosetron majmuada	Палоносетрон комбинации							
A04A	A04AD	Boshqa qusishga qarshi preparatlar	Другие противорвотные препараты							
A04AD	A04AD01	Skopolamin	Скополамин							
A04AD	A04AD02	Seriy oksalati	Церия оксалат							
A04AD	A04AD04	Xlorobutanol	Хлоробутанол							
A04AD	A04AD05	Metopimazin	Метопимазин							
A04AD	A04AD10	Dronabinol	Дронабинол							
A04AD	A04AD11	Nabilon	Набилон							
A04AD	A04AD12	Aprepitant	Апрепитант							
A04AD	A04AD13	Kasopitant	Касопитант							
A04AD	A04AD14	Rolapitant	Ролапитант							
A04AD	A04AD51	Skopolamin boshqa vositalar bilan majmuada	Скополамин в комбинации со средствами							
A04AD	A04AD54	Xlorobutanol boshqa vositalar bilan majmuada	Хлоробутанол в комбинации со средствами							
A	A05	Jigar va oʻt yoʻllari kasalliklarini davolash uchun preparatlar	Препараты для лечения заболеваний печени и желчевыводящих путей							
A05	A05A	Oʻt yoʻllari kasalliklarini davolash uchun preparatlar	Препараты для лечения заболеваний желчевыводящих путей							
A05A	A05AA	Oʻt kislotasi preparatlari	Препараты желчных кислот							
A05AA	A05AA01	Xenodezoksixol kislotasi	Хенодезоксихолевая кислота							
A05AA	A05AA02	Ursodezoksixol kislotasi	Урсодезоксихолевая кислота							
A05AA	A05AA03	Xolik kislotasi	Холевая кислота							
A05AA	A05AA04	Obetixol kislotasi	Обетихолевая кислота							
A05A	A05AB	Oʻt yoʻllari kasalliklarini davolash uchun preparatlar	Препараты для лечения заболеваний желчевыводящих путей							
A05AB	A05AB01	Nikotinilmetilamid	Никотинилметиламид							
A05A	A05AX	Oʻt yoʻllari kasalliklarini davolash uchun preparatlar	Другие препараты для лечения заболеваний желчевыводящих путей							
A05AX	A05AX01	Piprozolin	Пипрозолин							
A05AX	A05AX02	Gimekromon	Гимекромон							
A05AX	A05AX03	Siklobutirol	Циклобутирол							
A05	A05B	Jigar kasalliklarini davolash uchun preparatlar, lipotrop vositalar	Препараты для лечения заболеваний печени, липотропные средства							
A05B	A05BA	Jigar kasalliklarini davolash uchun preparatlar	Препараты для лечения заболеваний печени							
A05BA	A05BA01	Arginin-glutamat	Аргинин-глутамат							
A05BA	A05BA03	Silimarin	Силимарин							
A05BA	A05BA04	Sitiolon	Цитиолон							
A05BA	A05BA05	Epomediol	Эпомедиол							
A05BA	A05BA06	Ornitin oksoglurat	Орнитина оксоглурат							
A05BA	A05BA07	Arginin tidiatsik	Аргинина тидиацик							
A05BA	A05BA08	Glitsirrizin kislotasi	Глицирризиновая кислота							
A	A06	Surgi vositalari	Слабительные средства							
A06	A06A	Surgi vositalari	Слабительные средства							
A06A	A06AA	Axlat massasini yumshashtiruvchi preparatlar	Препараты, размягчающие каловые массы							
A06AA	A06AA01	Suyuq parafin	Парафин жидкий							
A06AA	A06AA02	Dokuzat natriy	Докузат натрия							
A06AA	A06AA51	Suyuq parafin boshqa vositalar bilan majmuada	Парафин жидкий в комбинации со средствами							
A06A	A06AB	Kontakt surgi vositalari	Контактные слабительные средства							
A06AB	A06AB01	Asetfenolizatin	Ацетфенолизатин							
A06AB	A06AB02	Bisakodil	Бисакодил							
A06AB	A06AB03	Dantron	Дантрон							
A06AB	A06AB04	Fenolftalein	Фенолфталеин							
A06AB	A06AB05	Kastor yogʻi	Касторовое масло							
A06AB	A06AB06	Sennozidlar A va B	Сеннозиды А И В							
A06AB	A06AB07	Surgi itshumrut mevalari	Крушины слабительной плоды							
A06AB	A06AB08	Natriy pikosulfati	Натрия пикосульфат							
A06AB	A06AB09	Bizoksatin	Бизоксатин							
A06AB	A06AB20	Kontakt surgi preparatlari majmuada	Слабительные контактные препараты в комбинации							
A06AB	A06AB30	Kontakt surgi preparatlari  belladdona alkaloidlar bilan majmuada	Слабительные контактные препараты в комбинации с алкалоидами белладонны							
A06AB	A06AB52	Bisakodil boshqa vositalar bilan majmuada	Бисакодил в комбинации со средствами							
A06AB	A06AB53	Dantron boshqa vositalar bilan majmuada	Дантрон в комбинации со средствами							
A06AB	A06AB56	A va B Sennozidlar boshqa vositalar bilan majmuada	Сеннозиды А и В в комбинации со средствами							
A06AB	A06AB57	Surgi itshumrut mevalari boshqa vositalar bilan majmuada	Крушины слабительной плоды в комбинации со средствами							
A06AB	A06AB58	Natriy pikosulfati boshqa vositalar bilan majmuada	Натрия пикосульфат в комбинации со средствами							
A06A	A06AC	Ichakdagi  modda xajmini oshiruvchi surgi vositalari	Слабительные средства, увеличивающие объем кишечного содержимого							
A06AC	A06AC01	Isfagula (zubturumning ovalsimon yoki burgasimon urugʻlari)	Исфагула (подорожника овального или блошного семена)							
A06AC	A06AC02	Etuloza	Этулоза							
A06AC	A06AC03	Sterkuliya	Стеркулия							
A06AC	A06AC05	Zigʻir urugʻlari	Льна посевного семена							
A06AC	A06AC06	Metilsellyuloza	Метилцеллюлоза							
A06AC	A06AC07	Trititsiy (bugʻdoy klechatkasi)	Тритиций (пшеничная клетчатка)							
A06AC	A06AC08	Polikarbofil kalsiy	Поликарбофил кальция							
A06AC	A06AC51	Isfagul boshqa vositalar bilan majmuada	Исфагула в комбинации со средствами							
A06AC	A06AC53	Sterkul boshqa vositalar bilan majmuada	Стеркулия в комбинации со средствами							
A06AC	A06AC55	Zigʻir urugʻlari boshqa vositalar bilan majmuada	Льна посевного семена в комбинации со средствами							
A06A	A6AD	Osmotik surgi vositalari	Осмотические слабительные средства							
A6AD	A06AD01	Magniy karbonati	Магния карбонат							
A6AD	A06AD02	Magniy oksidi	Магния оксид							
A6AD	A06AD03	Magniy peroksidi	Магния пероксид							
A6AD	A06AD04	Magniy sulfati	Магния сульфат							
A6AD	A06AD10	Mineral tuzlar majmuada	Минеральные соли в комбинации							
A6AD	A06AD11	Laktuloza	Лактулоза							
A6AD	A06AD12	Laktitol	Лактитол							
A6AD	A06AD13	Natriy sulfati	Натрия сульфат							
A6AD	A06AD14	Pentaeritritil tetranitrati	Пентаэритритила тетранитрат							
A6AD	A06AD15	Makrogol	Макрогол							
A6AD	A06AD16	Mannitol	Маннитол							
A6AD	A06AD17	Natriy fosfati	Натрия фосфат							
A6AD	A06AD18	Sorbitol	Сорбитол							
A6AD	A06AD19	Magniy sitrati	Магния цитрат							
A6AD	A06AD21	Natriy tartrati	Натрия тартрат							
A6AD	A06AD61	Laktuloza boshqa vositalar bilan majmuada	Лактулоза в комбинации со средствами							
A6AD	A06AD65	Makrogol boshqa vositalar bilan majmuada	Макрогол в комбинации со средствами							
A06A	A06AG	Huknali surgi vositalari	Слабительные средства в клизмах							
A06AG	A06AG01	Natriy fosfati	Натрия фосфат							
A06AG	A06AG02	Bisakodil	Бисакодил							
A06AG	A06AG03	Dantron jumladan, boshqa vositalar bilan majmuada	Дантрон, в т.ч. в комбинации со средствами							
A06AG	A06AG04	Glitserol	Глицерол							
A06AG	A06AG06	Yogʻ	Масло							
A06AG	A06AG07	Sorbitol	Сорбитол							
A06AG	A06AG10	Dokuzat natriy jumladan, boshqa vositalar bilan majmuada	Докузат натрия в т.ч. в комбинации со средствами							
A06AG	A06AG11	Lauril sulfati jumladan, boshqa vositalar bilan majmuada	Лаурила сульфат в т.ч. в комбинации со средствами							
A06AG	A06AG20	Majmuaviy surgi preparatlari	Слабительные препараты комбинированные							
A06A	A06AH	Periferik opioid retseptorlari antagonistlari	Антагонисты периферических опиоидных рецепторов							
A06AH	A06AH01	Metilnaltrekson bromidi	Метилналтрексона бромид							
A06AH	A06AH02	Alvimopan	Алвимопан							
A06AH	A06AH03	Naloksegol	Налоксегол							
A06AH	A06AH04	Nalokson	Налоксон							
A06A	A06AX	Boshqa surgi vositalari	Другие слабительные средства							
A06AX	A06AX01	Glitserol	Глицерол							
A06AX	A06AX02	Karbonat angidridi gazini hosil qiluvchi preparatlar	Препараты образующие углекислый газ							
A06AX	A06AX03	Lubiproston	Лубипростон							
A06AX	A06AX04	Linaklotid	Линаклотид							
A06AX	A06AX05	Prukaloprid	Прукалоприд							
A06AX	A06AX06	Tegaserod	Тегасерод							
					"Kimyoviy guruh 
kodi"	Kimyoviy guruh nomi		"ATK 
kodi"	Nomlanishi	
						O'zbek tilida	Rus tilida		O'zbek tilida	Rus tilida
					A06AH	Periferik opioid retseptorlari antagonistlari	Антагонисты периферических опиоидных рецепторов			
					A06AH	Periferik opioid retseptorlari antagonistlari	Антагонисты периферических опиоидных рецепторов			
					A06AH	Periferik opioid retseptorlari antagonistlari	Антагонисты периферических опиоидных рецепторов			
					A06AX	Boshqa surgi vositalari	Другие слабительные средства			
					A06AX	Boshqa surgi vositalari	Другие слабительные средства			
