Code,Code,Uz,Ru,Eng,,,,Uz,Ru,Eng,,category 
emdoc-0010-0023,106-2,Perinatal o‘lim guvohnomasi,Свидетельство о перинатальной смерти,Perinatal death certificate,,,,106-2 Perinatal o‘lim guvohnomasi,106-2 Свидетельство о перинатальной смерти,106-2 Perinatal death certificate,,Бланк
emdoc-0010-0024,023,Chaqiruvlarni qayd etish,Регистрация призывов на военную службу,Registration of military conscription calls,,,,023 Chaqiruvlarni qayd etish,023 Регистрация призывов на военную службу,023 Registration of military conscription calls,,Журнал
emdoc-0010-0025,024,Ambulatoriya-poliklinika muassasasiga kelganlarni qayd etish,Регистрация обратившихся в амбулаторно-поликлиническое учреждение,Register of visitors to an outpatient clinic,,,,024 Ambulatoriya-poliklinika muassasasiga kelganlarni qayd etish,024 Регистрация обратившихся в амбулаторно-поликлиническое учреждение,024 Register of visitors to an outpatient clinic,,Журнал
emdoc-0010-0026,024-1,Shifokorning kundalik qabuli,Дневник приёма врача,Physician daily log,,,,024-1 Shifokorning kundalik qabuli,024-1 Дневник приёма врача,024-1 Physician daily log,,Журнал
emdoc-0010-0027,024-2,Akusher-ginekologning (doya) kundalik qabuli,Дневник приёма акушера-гинеколога (акушерки),Obstetrician-gynecologist (midwife) daily log,,,,024-2 Akusher-ginekologning (doya) kundalik qabuli,024-2 Дневник приёма акушера-гинеколога (акушерки),024-2 Obstetrician-gynecologist (midwife) daily log,,Журнал
emdoc-0010-0028,024-3,Stomatolog kundalik qabuli,Дневник приёма стоматолога,Dentist daily log,,,,024-3 Stomatolog kundalik qabuli,024-3 Дневник приёма стоматолога,024-3 Dentist daily log,,Журнал
emdoc-0010-0029,024-4,Stomatolog ortoped va ortodont kundalik qabuli,Дневник приёма стоматолога-ортопеда и ортодонта,Prosthodontist and orthodontist daily log,,,,024-4 Stomatolog ortoped va ortodont kundalik qabuli,024-4 Дневник приёма стоматолога-ортопеда и ортодонта,024-4 Prosthodontist and orthodontist daily log,,Журнал
emdoc-0010-0030,025,Patsiyentning ambulator tibbiy kartasi,Амбулаторная медицинская карта пациента,Outpatient medical record,,,,025 Patsiyentning ambulator tibbiy kartasi,025 Амбулаторная медицинская карта пациента,025 Outpatient medical record,,Бланк
emdoc-0010-0031,025-1,Stomatolog ortoped va ortodont kartasi,Карта стоматолога-ортопеда и ортодонта,Prosthodontic and orthodontic record,,,,025-1 Stomatolog ortoped va ortodont kartasi,025-1 Карта стоматолога-ортопеда и ортодонта,025-1 Prosthodontic and orthodontic record,,Бланк
emdoc-0010-0032,030,Dispanser kuzatuv nazorat kartasi,Карта диспансерного наблюдения,Dispensary follow-up card,,,,030 Dispanser kuzatuv nazorat kartasi,030 Карта диспансерного наблюдения,030 Dispensary follow-up card,,Бланк
emdoc-0010-0033,030-1,Ruhiy kasalligi bor bemorning dispanser kartasi,Диспансерная карта пациента с психическим заболеванием,Dispensary card of a patient with mental illness,,,,030-1 Ruhiy kasalligi bor bemorning dispanser kartasi,030-1 Диспансерная карта пациента с психическим заболеванием,030-1 Dispensary card of a patient with mental illness,,Бланк
emdoc-0010-0034,030-2,Dispanser kuzatuv (onko) №,Диспансерное наблюдение (онко) №,Oncology dispensary follow-up №,,,,030-2 Dispanser kuzatuv (onko) №,030-2 Диспансерное наблюдение (онко) №,030-2 Oncology dispensary follow-up №,,Бланк
emdoc-0010-0035,030-3,Psihonevrologik muassasa dispanser ro‘yxatidan o‘chirilgan bemor uchun,"Для пациента, снятого с диспансерного учёта психоневрологического учреждения",For patient removed from psychoneurological dispensary registry,,,,030-3 Psihonevrologik muassasa dispanser ro‘yxatidan o‘chirilgan bemor uchun,"030-3 Для пациента, снятого с диспансерного учёта психоневрологического учреждения",030-3 For patient removed from psychoneurological dispensary registry,,Бланк
emdoc-0010-0036,030-4,Sil kasaliga qarshi kurashish muassasa kontingentini,Контингент противотуберкулёзного учреждения,TB facility contingent record,,,,030-4 Sil kasaliga qarshi kurashish muassasa kontingentini,030-4 Контингент противотуберкулёзного учреждения,030-4 TB facility contingent record,,Бланк
emdoc-0010-0037,035,Shifokor maslahat komissiyasi xulosalarini qayd etish,Регистрация заключений врачебной консультативной комиссии,Register of medical consultation committee conclusions,,,,035 Shifokor maslahat komissiyasi xulosalarini qayd etish,035 Регистрация заключений врачебной консультативной комиссии,035 Register of medical consultation committee conclusions,,Журнал
emdoc-0010-0038,035-1,Mehnatga layoqatsizlik varog‘ini uzaytirishni qayd etish,Регистрация продления листка нетрудоспособности,Register of sick-leave extension,,,,035-1 Mehnatga layoqatsizlik varog‘ini uzaytirishni qayd etish,035-1 Регистрация продления листка нетрудоспособности,035-1 Register of sick-leave extension,,Журнал
emdoc-0010-0039,037,Yo‘llanma almashish varaqasi,Направление-обменный лист,Referral exchange form,,,,037 Yo‘llanma almashish varaqasi,037 Направление-обменный лист,037 Referral exchange form,,Бланк
emdoc-0010-0040,037-1,“Ona va bola skrining” markazida prenatal tekshiruvdan o‘tishga yo‘llanma,Направление на прохождение пренатального обследования в центре «Мать и дитя (скрининг)»,Referral for prenatal screening at the “Mother and Child Screening” Center,,,,037-1 “Ona va bola skrining” markazida prenatal tekshiruvdan o‘tishga yo‘llanma,037-1 Направление на прохождение пренатального обследования в центре «Мать и дитя (скрининг)»,037-1 Referral for prenatal screening at the “Mother and Child Screening” Center,,Бланк
emdoc-0010-0041,043,Tibbiy ma’lumotnoma (chet el fuqarolari uchun),Медицинская справка (для иностранных граждан),Medical certificate (for foreign citizens),,,,043 Tibbiy ma’lumotnoma (chet el fuqarolari uchun),043 Медицинская справка (для иностранных граждан),043 Medical certificate (for foreign citizens),,Бланк
emdoc-0010-0042,044,Xorijga ketayotganlar uchun tibbiy ma’lumotnoma,Медицинская справка для выезжающих за границу,Medical certificate for travelers abroad,,,,044 Xorijga ketayotganlar uchun tibbiy ma’lumotnoma,044 Медицинская справка для выезжающих за границу,044 Medical certificate for travelers abroad,,Бланк
emdoc-0010-0043,051,Oila hamshirasining kundalik faoliyati,Дневник работы семейной медсестры,Family nurse daily log,,,,051 Oila hamshirasining kundalik faoliyati,051 Дневник работы семейной медсестры,051 Family nurse daily log,,Журнал
emdoc-0010-0044,053,Harbiy xizmatga chaqiriluvchining davolanish kartasi,Карта лечения призывника,Treatment card of military conscript,,,,053 Harbiy xizmatga chaqiriluvchining davolanish kartasi,053 Карта лечения призывника,053 Treatment card of military conscript,,Бланк
emdoc-0010-0045,056,Shaxsning aqldan ozganligi to‘g‘risidagi,Справка о признании лица недееспособным (невменяемым),Certificate of legal incapacity (insanity),,,,056 Shaxsning aqldan ozganligi to‘g‘risidagi,056 Справка о признании лица недееспособным (невменяемым),056 Certificate of legal incapacity (insanity),,Бланк
emdoc-0010-0046,061,Jismoniy tarbiya va sportchining shifokorlik nazorat kartasi,Карта врачебного контроля физкультуры и спортсмена,Medical supervision card for physical education and athletes,,,,061 Jismoniy tarbiya va sportchining shifokorlik nazorat kartasi,061 Карта врачебного контроля физкультуры и спортсмена,061 Medical supervision card for physical education and athletes,,Бланк
emdoc-0010-0047,063,Profilaktik emlash kartasi,Карта профилактических прививок,Vaccination card,,,,063 Profilaktik emlash kartasi,063 Карта профилактических прививок,063 Vaccination card,,Бланк
emdoc-0010-0048,064,Emlashni qayd etish,Регистрация вакцинации,Vaccination register,,,,064 Emlashni qayd etish,064 Регистрация вакцинации,064 Vaccination register,,Журнал
emdoc-0010-0049,069,Ambulator operatsiyalarni qayd etish,Регистрация амбулаторных операций,Register of outpatient surgeries,,,,069 Ambulator operatsiyalarni qayd etish,069 Регистрация амбулаторных операций,069 Register of outpatient surgeries,,Журнал
emdoc-0010-0050,072,Sanator-kurort karta,Санаторно-курортная карта,Sanatorium-resort card,,,,072 Sanator-kurort karta,072 Санаторно-курортная карта,072 Sanatorium-resort card,,Бланк
emdoc-0010-0051,072-1,Sanator-kurort davolanish uchun ma’lumotnoma,Справка для санаторно-курортного лечения,Certificate for sanatorium-resort treatment,,,,072-1 Sanator-kurort davolanish uchun ma’lumotnoma,072-1 Справка для санаторно-курортного лечения,072-1 Certificate for sanatorium-resort treatment,,Бланк
emdoc-0010-0052,080,Tibbiy moneliklarni ro‘yxatga olish,Регистрация медицинских противопоказаний,Registration of medical contraindications,,,,080 Tibbiy moneliklarni ro‘yxatga olish,080 Регистрация медицинских противопоказаний,080 Registration of medical contraindications,,Журнал
emdoc-0010-0053,083,Davlat avtoinspeksiyasiga topshirish uchun tibbiy ma’lumotnoma,Медицинская справка для предоставления в Государственную автоинспекцию,Medical certificate for submission to the State Traffic Police,,,,083 Davlat avtoinspeksiyasiga topshirish uchun tibbiy ma’lumotnoma,083 Медицинская справка для предоставления в Государственную автоинспекцию,083 Medical certificate for submission to the State Traffic Police,,Бланк
emdoc-0010-0054,083-1,Haydovchi va haydovchilikka davogarlarni avtotransport va shahar elektrotransport boshqarishga yaroqliligini aniqlovchi tibbiy komissiya koʻrigi,Медицинский комиссионный осмотр для определения пригодности водителей и кандидатов в водители к управлению автомобильным и городским электротранспортом,Medical commission examination to determine the fitness of drivers and driver candidates to operate motor vehicles and urban electric transport,,,,083-1 Haydovchi va haydovchilikka davogarlarni avtotransport va shahar elektrotransport boshqarishga yaroqliligini aniqlovchi tibbiy komissiya koʻrigi,083-1 Медицинский комиссионный осмотр для определения пригодности водителей и кандидатов в водители к управлению автомобильным и городским электротранспортом,083-1 Medical commission examination to determine the fitness of drivers and driver candidates to operate motor vehicles and urban electric transport,,Бланк
emdoc-0010-0055,086,"Tibbiy ma’lumotnoma (Maslahatchi shifokor mutaxassisining tibbiy xulosasi) Oliy oʻquv yurtlari, litsey, kollejlarga kiruvchi abituriyentlar, sportchilar va ishga kiruvchilar uchun toʻldiriladi","Медицинская справка (заключение врача-специалиста) Заполняется для абитуриентов высших учебных заведений, лицеев, колледжей, спортсменов и лиц, поступающих на работу","Medical certificate (specialist physician conclusion) To be completed for applicants to higher education institutions, lyceums, colleges, athletes, and job applicants",,,,"086 Tibbiy ma’lumotnoma (Maslahatchi shifokor mutaxassisining tibbiy xulosasi) Oliy oʻquv yurtlari, litsey, kollejlarga kiruvchi abituriyentlar, sportchilar va ishga kiruvchilar uchun toʻldiriladi","086 Медицинская справка (заключение врача-специалиста) Заполняется для абитуриентов высших учебных заведений, лицеев, колледжей, спортсменов и лиц, поступающих на работу","086 Medical certificate (specialist physician conclusion) To be completed for applicants to higher education institutions, lyceums, colleges, athletes, and job applicants",,Бланк
emdoc-0010-0056,086-1,Tibbiy ma’lumotnoma (Maslahatchi shifokor mutaxassisining tibbiy xulosasi) Sudyalik lavozimiga tayinlanadigan nomzodlar uchun toʻldiriladi,"Медицинская справка (заключение врача-специалиста) Заполняется для кандидатов, назначаемых на должность судьи",Medical certificate (specialist physician conclusion) To be completed for candidates appointed to judicial positions,,,,086-1 Tibbiy ma’lumotnoma (Maslahatchi shifokor mutaxassisining tibbiy xulosasi) Sudyalik lavozimiga tayinlanadigan nomzodlar uchun toʻldiriladi,"086-1 Медицинская справка (заключение врача-специалиста) Заполняется для кандидатов, назначаемых на должность судьи",086-1 Medical certificate (specialist physician conclusion) To be completed for candidates appointed to judicial positions,,Бланк
emdoc-0010-0057,086-2,"Tibbiy ma’lumotnoma (Maslahatchi shifokor mutaxassislarining tibbiy xulosasi) Muruvvat, Saxovat hamda Urush va mehnat faxriylari pansionatlariga yuboriladigan barcha qariyalar, nogironlik belgilangan shaxslar uchun toʻldiriladi","Медицинская справка (заключения врачей-специалистов) Заполняется для всех пожилых лиц и лиц с установленной инвалидностью, направляемых в пансионаты «Мурувват», «Саховат», а также пансионаты для ветеранов войны и труда","Medical certificate (multiple specialists’ conclusions) To be completed for all elderly persons and persons with certified disability referred to “Muruvvat”, “Sakhovat”, and War and Labor Veterans’ boarding homes",,,,"086-2 Tibbiy ma’lumotnoma (Maslahatchi shifokor mutaxassislarining tibbiy xulosasi) Muruvvat, Saxovat hamda Urush va mehnat faxriylari pansionatlariga yuboriladigan barcha qariyalar, nogironlik belgilangan shaxslar uchun toʻldiriladi","086-2 Медицинская справка (заключения врачей-специалистов) Заполняется для всех пожилых лиц и лиц с установленной инвалидностью, направляемых в пансионаты «Мурувват», «Саховат», а также пансионаты для ветеранов войны и труда","086-2 Medical certificate (multiple specialists’ conclusions) To be completed for all elderly persons and persons with certified disability referred to “Muruvvat”, “Sakhovat”, and War and Labor Veterans’ boarding homes",,Бланк
emdoc-0010-0058,086-3,Shifokor maslahat komissiya ma’lumotnomasi,Справка врачебной консультативной комиссии,Medical consultation committee certificate,,,,086-3 Shifokor maslahat komissiya ma’lumotnomasi,086-3 Справка врачебной консультативной комиссии,086-3 Medical consultation committee certificate,,Бланк
emdoc-0010-0059,086-4,Sog'lomlashtiruvchi lagerga ketayotgan o‘quvchining tibbiy ma’lumoti.,"Медсправка учащегося, направляемого в оздоровительный лагерь",Medical certificate for student going to health camp,,,,086-4 Sog'lomlashtiruvchi lagerga ketayotgan o‘quvchining tibbiy ma’lumoti.,"086-4 Медсправка учащегося, направляемого в оздоровительный лагерь",086-4 Medical certificate for student going to health camp,,Бланк
emdoc-0010-0060,089,"Hayotida birinchi bor faol sil, JAOYUK (tanosil kasalligi), trixofitiya, mikrosporiya","Первичное выявление активного туберкулёза, ИППП, трихофитии, микроспории","First-time detection of active TB, STIs, trichophytia, microsporia",,,,"089 Hayotida birinchi bor faol sil, JAOYUK (tanosil kasalligi), trixofitiya, mikrosporiya","089 Первичное выявление активного туберкулёза, ИППП, трихофитии, микроспории","089 First-time detection of active TB, STIs, trichophytia, microsporia",,Бланк
emdoc-0010-0061,090,Hayotida birinchi bor saraton kasalligi yoki boshqa yomon sifatli o‘sma,Первичное выявление рака или другого злокачественного новообразования,First-time detection of cancer or other malignant tumor,,,,090 Hayotida birinchi bor saraton kasalligi yoki boshqa yomon sifatli o‘sma,090 Первичное выявление рака или другого злокачественного новообразования,090 First-time detection of cancer or other malignant tumor,,Бланк
emdoc-0010-0062,091,Hayotida birinchi marta narkomaniya tashxisi aniqlangan bemor haqida xabar,Извещение о впервые выявленном случае наркомании,Notification of first-time diagnosed drug addiction,,,,091 Hayotida birinchi marta narkomaniya tashxisi aniqlangan bemor haqida xabar,091 Извещение о впервые выявленном случае наркомании,091 Notification of first-time diagnosed drug addiction,,Бланк
emdoc-0010-0063,111,Homilador va tuqqan ayolning individual kartasi,Индивидуальная карта беременной и родильницы,Individual card of pregnant and postpartum woman,,,,111 Homilador va tuqqan ayolning individual kartasi,111 Индивидуальная карта беременной и родильницы,111 Individual card of pregnant and postpartum woman,,Бланк
emdoc-0010-0064,059,"Katta hamshira yoki laborantkaning byudjet hisobiga olgan dori vosita, diagnostikum, reaktiv va tibbiy buyumlarni miqdoriy hisobga olish","Количественный учёт лекарств, диагностических средств, реактивов и медизделий, полученных старшей медсестрой/лаборантом за счёт бюджета","Quantitative accounting of medicines, diagnostics, reagents and medical supplies received by the senior nurse/lab technician from the budget",,,,"059 Katta hamshira yoki laborantkaning byudjet hisobiga olgan dori vosita, diagnostikum, reaktiv va tibbiy buyumlarni miqdoriy hisobga olish","059 Количественный учёт лекарств, диагностических средств, реактивов и медизделий, полученных старшей медсестрой/лаборантом за счёт бюджета","059 Quantitative accounting of medicines, diagnostics, reagents and medical supplies received by the senior nurse/lab technician from the budget",,Журнал
emdoc-0010-0065,066,Shifoxonadan chiqarilganlarning statistik kartasi,Статистическая карта выписанного из стационара (форма 066),Statistical card of discharged patient (Form 066),,,,066 Shifoxonadan chiqarilganlarning statistik kartasi,066 Статистическая карта выписанного из стационара (форма 066),066 Statistical card of discharged patient (Form 066),,Бланк
emdoc-0010-0066,011,Gemodializ seansini qayd qilish kartasi,Карта регистрации сеанса гемодиализа,Hemodialysis session record card,,,,011 Gemodializ seansini qayd qilish kartasi,011 Карта регистрации сеанса гемодиализа,011 Hemodialysis session record card,,Бланк
emdoc-0010-0067,012-1,Kolonoskopiya bayoni,Протокол колоноскопии,Colonoscopy report,,,,012-1 Kolonoskopiya bayoni,012-1 Протокол колоноскопии,012-1 Colonoscopy report,,Бланк
emdoc-0010-0068,012,Kolonoskopik tekshiruvlarni qayd qilish,Журнал регистрации колоноскопических исследований,Register of colonoscopic examinations,,,,012 Kolonoskopik tekshiruvlarni qayd qilish,012 Журнал регистрации колоноскопических исследований,012 Register of colonoscopic examinations,,Журнал
emdoc-0010-0069,013,Spirometriya,Спирометрия,Spirometry,,,,013 Spirometriya,013 Спирометрия,013 Spirometry,,Бланк
emdoc-0010-0070,014,Nur bilan davolashni qayd qilish,Регистрация светолечения,Phototherapy register,,,,014 Nur bilan davolashni qayd qilish,014 Регистрация светолечения,014 Phototherapy register,,Журнал
emdoc-0010-0071,015,Ultratovush tekshiruvlarini qayd etish,Журнал регистрации УЗИ,Ultrasound examination register,,,,015 Ultratovush tekshiruvlarini qayd etish,015 Журнал регистрации УЗИ,015 Ultrasound examination register,,Журнал
emdoc-0010-0072,015-1,Quloq oldi bezining UTT bayoni,Протокол УЗИ околоушной железы,Parotid gland ultrasound report,,,,015-1 Quloq oldi bezining UTT bayoni,015-1 Протокол УЗИ околоушной железы,015-1 Parotid gland ultrasound report,,Бланк
emdoc-0010-0073,015-2,Qalqonsimon bezining UTT bayoni,Протокол УЗИ щитовидной железы,Thyroid ultrasound report,,,,015-2 Qalqonsimon bezining UTT bayoni,015-2 Протокол УЗИ щитовидной железы,015-2 Thyroid ultrasound report,,Бланк
emdoc-0010-0074,015-3,Sut bezlarining UTT bayoni,Протокол УЗИ молочных желёз,Breast ultrasound report,,,,015-3 Sut bezlarining UTT bayoni,015-3 Протокол УЗИ молочных желёз,015-3 Breast ultrasound report,,Бланк
emdoc-0010-0075,015-4,Ayirisimon bezining UTT bayoni,Протокол УЗИ вилочковой железы,Thymus ultrasound report,,,,015-4 Ayirisimon bezining UTT bayoni,015-4 Протокол УЗИ вилочковой железы,015-4 Thymus ultrasound report,,Бланк
emdoc-0010-0076,015-5,Buyrak usti bezining UTT bayoni,Протокол УЗИ надпочечников,Adrenal ultrasound report,,,,015-5 Buyrak usti bezining UTT bayoni,015-5 Протокол УЗИ надпочечников,015-5 Adrenal ultrasound report,,Бланк
emdoc-0010-0077,015-6,Oshqozon-ichak tizimining UTT bayoni,Протокол УЗИ ЖКТ,Gastrointestinal ultrasound report,,,,015-6 Oshqozon-ichak tizimining UTT bayoni,015-6 Протокол УЗИ ЖКТ,015-6 Gastrointestinal ultrasound report,,Бланк
emdoc-0010-0078,015-7,Neyrosonografik tekshiruv bayoni,Протокол нейросонографии,Neurosonography report,,,,015-7 Neyrosonografik tekshiruv bayoni,015-7 Протокол нейросонографии,015-7 Neurosonography report,,Бланк
emdoc-0010-0079,015-8,Siydik pufagi UTT bayoni,Протокол УЗИ мочевого пузыря,Bladder ultrasound report,,,,015-8 Siydik pufagi UTT bayoni,015-8 Протокол УЗИ мочевого пузыря,015-8 Bladder ultrasound report,,Бланк
emdoc-0010-0080,015-9,Prostata bezi va urug‘ pufakchasining UTT bayoni,Протокол УЗИ простаты и семенных пузырьков,Prostate and seminal vesicles ultrasound report,,,,015-9 Prostata bezi va urug‘ pufakchasining UTT bayoni,015-9 Протокол УЗИ простаты и семенных пузырьков,015-9 Prostate and seminal vesicles ultrasound report,,Бланк
emdoc-0010-0081,015-10,Yo‘g‘on ichak UTT bayoni,Протокол УЗИ толстого кишечника,Colon ultrasound report,,,,015-10 Yo‘g‘on ichak UTT bayoni,015-10 Протокол УЗИ толстого кишечника,015-10 Colon ultrasound report,,Бланк
emdoc-0010-0082,015-11,Yurakning UTT bayoni,Протокол УЗИ сердца (эхокардиография),Cardiac ultrasound (Echo) report,,,,015-11 Yurakning UTT bayoni,015-11 Протокол УЗИ сердца (эхокардиография),015-11 Cardiac ultrasound (Echo) report,,Бланк
emdoc-0010-0083,015-12,Fonokardiogramma,Фонокардиограмма,Phonocardiogram,,,,015-12 Fonokardiogramma,015-12 Фонокардиограмма,015-12 Phonocardiogram,,Бланк
emdoc-0010-0084,015-13,Sado-kardiografiya,Звуковая кардиография,Sound cardiography,,,,015-13 Sado-kardiografiya,015-13 Звуковая кардиография,015-13 Sound cardiography,,Бланк
emdoc-0010-0085,015-14,Kichik chanoq a’zolari UTT bayoni,Протокол УЗИ органов малого таза,Pelvic ultrasound report,,,,015-14 Kichik chanoq a’zolari UTT bayoni,015-14 Протокол УЗИ органов малого таза,015-14 Pelvic ultrasound report,,Бланк
emdoc-0010-0086,015-15,Tos-son bo‘g‘imining ultratovush tekshiruvi,УЗИ тазобедренного сустава,Hip joint ultrasound,,,,015-15 Tos-son bo‘g‘imining ultratovush tekshiruvi,015-15 УЗИ тазобедренного сустава,015-15 Hip joint ultrasound,,Бланк
emdoc-0010-0087,015-16,Jigar va o‘t pufagi UTT bayoni,Протокол УЗИ печени и желчного пузыря,Liver and gallbladder ultrasound report,,,,015-16 Jigar va o‘t pufagi UTT bayoni,015-16 Протокол УЗИ печени и желчного пузыря,015-16 Liver and gallbladder ultrasound report,,Бланк
emdoc-0010-0088,015-17,Taloqning UTT bayoni,Протокол УЗИ селезёнки,Spleen ultrasound report,,,,015-17 Taloqning UTT bayoni,015-17 Протокол УЗИ селезёнки,015-17 Spleen ultrasound report,,Бланк
emdoc-0010-0089,015-18,Buyrakning UTT bayoni,Протокол УЗИ почек,Kidney ultrasound report,,,,015-18 Buyrakning UTT bayoni,015-18 Протокол УЗИ почек,015-18 Kidney ultrasound report,,Бланк
