Name,,Flags,,Cardinality,example 1,example 2,document,Type,Description & Constraints,,ValueSets,,,
Slicing for type.coding,,,,,,,,CodeableConcept,,,https://terminology.medcore.uz/ValueSet/Organization-specialization,OrganizationSpecialization,все коды,Медицинская специализация организации
type,,Σ S,D,,,,,CodeableConcept,,,https://terminology.medcore.uz/ValueSet/ Identifier Type (required),CodeSystemIdentifierType,все коды,Код типа идентификатора организации
type.coding[organizationType],,Σ S,D,0..*,,"I ""Boshqaruv boyicha taqsimlanishi""",,Coding,Вид организации System: https://terminology.dhp.uz/fhir/core/CodeSystem/organization-types-uz-cs Binding: OrganizationTypeCS (required),,,,,
,system,Σ S,D,1..1,,https://terminology.dhp.uz/fhir/core/CodeSystem/organization-types-uz-cs,,uri,,,,,,
,code,Σ S,D,1..1,,I,,code,Binding: OrganizationTypeCS (required),,,,,
type.coding[subordinationGroup],,Σ S,D,0..1,,"I_1 ""Respublika tassarufidagi muassasalari""",,Coding,Группа подчинения медорганизации System: https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-subordination-group-cs Binding: OrganizationalSubordiantionGroupCS (required),,,,,
,system,Σ S,D,1..1,,https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-subordination-group-cs,,uri,,,,,,
,code,Σ S,D,1..1,,I_1,,code,Binding: OrganizationalSubordiantionGroupCS (required),,,,,
type.coding[nomenclatureGroup],,Σ S,D,0..1,,"II_100 ""Shifoxona muassasalari""",,Coding,Определяет группу номенклатуры (группировку учреждений) System: https://terminology.dhp.uz/fhir/core/CodeSystem/nomenclature-group-cs Binding: NomenclatureGroupCS (required),,,,,
,system,Σ S,D,1..1,,https://terminology.dhp.uz/fhir/core/CodeSystem/nomenclature-group-cs,,uri,,,,,,
,code,Σ S,D,1..1,,II_100,,code,Binding: NomenclatureGroupCS (required),,,,,
type.coding[organizationalStructure],,Σ S,D,0..1,,organizational-structure-cs#146,,Coding,Определяет организационную структуру медучреждения System: https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-structure-cs Binding: OrganizationalGroupCS (required),,,,,
,system,Σ S,D,1..1,,https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-structure-cs,,uri,,,,,,
,code,Σ S,D,1..1,,110,,code,Binding: OrganizationalStructureCS (required),,,,,
type.coding[organizationalServiceGroup],,Σ S,D,0..*,,organizational-service-group-cs#III_200,,Coding,Определяет организационно-сервисную группу медучреждения System: https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-service-group-cs Binding: OrganizationalServiceGroupCS (required),,,,,
,system,Σ S,D,1..1,,https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-service-group-cs,,uri,,,,,,
,code,Σ S,D,1..1,,III_100,,code,Binding: OrganizationalServiceGroupCS (required),,,,,
type.coding[specialization],,Σ S,D,0..*,,organizational-specialization-cs#145.0,,Coding,Определяет специализацию медорганизации System: https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-specialization-cs Binding: OrganizationalSpecializationCS (required),,,,,
,system,Σ S,D,1..1,,https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-specialization-cs,,uri,,,,,,
,code,Σ S,D,1..1,,145,,code,Binding: OrganizationalSpecializationCS (required),,,,,
type.coding[withoutLegalStatus],,Σ S,D,0..1,,,,Coding,Определяет тип медорганизаций без образования юридического лица System: https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-subordination-institution-cs Binding: OrganizationalSubordinationInstitutionCS (required),,,,,
,system,Σ S,D,1..1,,https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-subordination-institution-cs,,uri,,,,,,
,code,Σ S,D,1..1,,STIR-I_30,,code,Binding: OrganizationalSubordinationInstitutionCS (required),,,,,
type.coding[organizationGrouping],,Σ S,D,0..1,,organizational-subordination-institution-cs#STIR-I_30,,Coding,Определяет тип группировки межучреждению System: https://terminology.dhp.uz/fhir/core/CodeSystem/organization-grouping-uz-cs Binding: OrganizationGroupCS (required),,,,,
,system,Σ S,D,1..1,,,,uri,Fixed system,,,,,
,code,Σ S,D,1..1,,,,code,Binding: OrganizationGroupCS (required),,,,,
name,,Σ S,D,0..1,,Respublika Onkologiya Markazi,,string,Название организации FSH: insert MultilingualName(организации),,,,,
Slices for extension name,,,,0..*,,,,,Перевод на разные языки (локализация),,,,,
extension:lang,,,,1..1,,,,Extension,,,,,,
,url,Σ S,  D,1..1,,,,uri,"""lang""",,,,,
,valueCode,Σ S,  D,1..1,,,,code,,,,,,
extension:content,,Σ S,  D,1..1,,,,,,,,,,
,url,Σ S,,1..1,,, ,uri,"""content""",,,,,
,valueString,Σ S,  D,1..1,,,,string,"Название, используемое для организации на выбранном языке",,,,,
contact,,Σ S,  D,0..*,,,,ExtendedContactDetail,Официальные контактные данные организации,,,,,
partOf,,Σ ,  D,0..1,,,,Reference(Organization),"Организация, частью которой является данная организация",,,,,
endpoint,,,  D,0..*,,,,Reference(Endpoint),,,,,,
