CODE,UZ,RU,EN
137.0,Bolalar ortopediyasi,Детская ортопедия,Pediatric Orthopedics
138.0,Kattalar urologiyasi,Взрослая урология,Adult Urology
139.0,Bolalar urologiyasi,Детская урология,Pediatric Urology
140.0,Kattalar stomatologiyasi,Стоматология для взрослых,Adult Dentistry
141.0,Bolalar stomatologiyasi,Детская стоматология,Pediatric Dentistry
142.0,Proktologik,Проктологический,Proctology
143.0,Kattalar uchun yiringli jarrohlik,Хирургия пищевода у взрослых,Adult Purulent Surgery
144.0,Bolalar yiringli jarrohlik,Детская хирургия,Pediatric Purulent Surgery
145.0,Kattalar onkologiyasi,Взрослая онкология,Adult Oncology
146.0,Bolalar onkologiyasi,Детская онкология,Pediatric Oncology
147.0,Radiologik va rentgenologik,Радиология и рентгенлогия,Radiology and Roentgenology
148.0,"Homilador, tug'adigan va tuqqan ayollar uchun (homiladorlik patologiyasidan tashqari)- jami","Для беременных, рожениц и родильниц (за исключением патологий беременности)","For pregnant women, women in labor and postpartum women (except pregnancy pathologies)"
148.1,shu jumladan: Tug'adiganlar uchun,Для рожениц,For women in labor
149.0,Homiladorlik patologiyasi,Патология беременности,Pathology of Pregnancy
150.0,Kattalar uchun ginekologiya (abortlardan tashqari).,Гинекология (кроме абортов) для взрослых,Gynecology (except abortions) for adults
151.0,Bolalar uchun ginekologiya,Гинекология для детей,Pediatric Gynecology
152.0,Abort uchun,Для аборта,For Abortion
153.0,Katta yoshdagi sil kasalligi,Туберкулез взрослых,Tuberculosis in adults
153.1,Kattalardagi suyaklar va bo'g'imlarning sil kasalligi,Туберкулез костей и суставов взрослых,Tuberculosis of bones and joints in adults
154.1,Bolalarda suyak va bo'g'imlarning sil kasalligi,Туберкулез костей и суставов детей,Tuberculosis of bones and joints in children
155.0,Kattalar uchun nevrologiya,Неврология для взрослых,Neurology for adults
156.0,Bolalar uchun nevrologiya,Неврология для детей,Neurology for children
157.0,Kattalar psixiatriyasi (psixonevrologiya),Взрослая психиатрия (психоневрология),Adult psychiatry (psychoneurology)
158.0,Bolalar psixiatriyasi,Детская психиатрия,Child psychiatry
159.0,Kattalar psixosomatikasi,Психосоматика взрослых,Psychosomatics of adults
160.0,Bolalar psixosomatikasi,Детская психосоматика,Child psychosomatics
161.0,Narkologik,Наркологический,Narcological
162.0,Kattalar toksikologiyasi,Токсикология взрослых,Toxicology of adults
147.0,Radiologik va rentgenologik,Радиология и рентгенлогия,"For pregnant women, women in labor and women in childbirth (except for pregnancy pathologies)"
148.0,"Homilador, tugʻadigan va tuqqan ayollar uchun (homiladorlik patologiyasidan tashqari)- jami","Для беременных, рожениц и родильниц (за исключением патологий беременности)",For women in labor
148.1,shu jumladan: Tugʻadiganlar uchun ,Для рожениц,Pathology of pregnancy
149.0,Homiladorlik patologiyasi,Патология беременности,Gynecology (except abortions) for adults
150.0,Kattalar uchun ginekologiya (abortlardan tashqari).,Гинекология (кроме абортов) для взрослых ,Gynecology for children
151.0,Bolalar uchun ginekologiya,Гинекология для детей,
152.0,Abort uchun,Для аборта,For abortion
153.0,Katta yoshdagi sil kasalligi,Туберкулез взрослых,Tuberculosis in adults
153.1,Kattalardagi suyaklar va bo'g'imlarning sil kasalligi,Туберкулез костей и суставов взрослых,Tuberculosis of bones and joints in adults
154.1,Bolalarda suyak va bo'g'imlarning sil kasalligi,Туберкулез костей и суставов детей,Tuberculosis of bones and joints in children
155.0,Kattalar uchun nevrologiya,Неврология для взрослых,Neurology for adults
156.0,Bolalar uchun nevrologiya,Неврология для детей,Neurology for children
157.0,Kattalar psixiatriyasi (psixonevrologiya),Взрослая психиатрия (психоневрология),Adult psychiatry (psychoneurology)
158.0,Bolalar psixiatriyasi,Детская психиатрия,Child psychiatry
159.0,Kattalar psixosomatikasi,Психосоматика взрослых,Psychosomatics of adults
160.0,Bolalar psixosomatikasi,Детская психосоматика,Child psychosomatics
161.0,Narkologik,Наркологический,Narcological
162.0,Kattalar toksikologiyasi,Токсикология взрослых,Toxicology of adults
163.0,Bolalar uchun toksikologiya,Токсикология для детей,Toxicology for children
164.0,Kattalar uchun oftalmologiya,Офтальмология для взрослых,Ophthalmology for adults
165.0,Bolalar oftalmologiyasi,Детская офтальмология,Children's ophthalmology
166.0,Kattalar uchun otolaringologiya,Отоларингология для взрослых,Otolaryngology for adults
167.0,Bolalar otorinolaringologiyasi,Детская отоларингология,Children's otolaryngology
168.0,Kattalar uchun dermatovenerologiya,Дерматовенерология для взрослых,Dermatovenereology for adults
169.0,Bolalar dermatovenerologiyasi,Детская дерматовенерология,Children's dermatovenereology
170.0,Pediatriya (somatik),Педиатрия (соматическая),Pediatrics (somatic)
170.1,Bolalar patologiyasi,Детская патология,Children's pathology
171.0,Transplantologiya,Трансплантология,Transplantology
172.0,Kattalar uchun boshqa,Другое для взрослых,Other for adults
173.0,Bolalar uchun boshqa,Другое для детей,Other for children
174.0,Kattalar uchun intensiv terapiya,Интенсивная терапия для взрослых,Intensive care for adults
175.0,Pediatriya intensiv terapiyasi,Детская реанимация,Children's intensive care
163.0,Bolalar uchun toksikologiya,Токсикология для детей,Toxicology for children
164.0,Kattalar uchun oftalmologiya,Офтальмология для взрослых,Ophthalmology for adults
165.0,Bolalar oftalmologiyasi,Детская офтальмология,Children's ophthalmology
166.0,Kattalar uchun otolaringologiya,Отоларингология для взрослых,Otolaryngology for adults
167.0,Bolalar otorinolaringologiyasi,Детская отоларингология,Children's otolaryngology
168.0,Kattalar uchun dermatovenerologiya,Дерматовенерология для взрослых,Dermatovenereology for adults
169.0,Bolalar dermatovenerologiyasi,Детская дерматовенерология,Children's dermatovenereology
170.0,Pediatriya (somatik),Педиатрия (соматическая),Pediatrics (somatic)
170.1,Bolalar patologiyasi,Детская патология,Children's pathology
171.0,Transplantologiya,Трансплантология,Transplantology
172.0,Kattalar uchun boshqa,Другое для взрослых,Other for adults
173.0,Bolalar uchun boshqa,Другое для детей,Other for children
174.0,Kattalar uchun intensiv terapiya,Интенсивная терапия для взрослых,Intensive care for adults
175.0,Pediatriya intensiv terapiyasi,Детская реанимация,Children's intensive care
