CODE,UZ,RU,EN
211,Tez tibbiy yordam stansiyasi,Станция скорой помощи,Emergency medical station
213,Tez tibbiy yordam stansiyasi shahobchasi,Филиал станции скорой помощи,Emergency medical station branch
215,Tez tibbiy yordam tayanch punkti,Базовая станция скорой помощи,Emergency medical base
311,Ixtisoslashtirilgan ilmiy-amaliy tibbiyot markazi poliklinikasi,Поликлиника Специализированного научно-практического медицинского центра,Specialized Scientific and Practical Medical Center Polyclinic
313,Ixtisoslashtirilgan ilmiy markazi poliklinikasi,Специализированный научный центр Поликлиника,Specialized Scientific Center Polyclinic
315,Ixtisoslashtirilgan markazi poliklinikasi,Специализированный центр поликлиника,Specialized Center Polyclinic
317,Tibbiyot markazi poliklinikasi,Медицинский центр Поликлиника,Medical Center Polyclinic
319,Reabilitatsiya markazi poliklinikasi,Реабилитационный центр Поликлиника,Rehabilitation Center Polyclinic
321,Perinatal markazi poliklinikasi,Перинатальный центр Поликлиника,Perinatal Center Polyclinic
323,Milliy tibbiyot markazi,Национальный Медицинский Центр,National Medical Center Polyclinic
325,Klinikalar (oliy tibbiy taʼlim yurtlari va ilmiy-tekshirish institutlari qoshidagi) poliklinikasi,Поликлиники клиник (при высших медицинских учебных заведениях и научно-исследовательских институтах),Clinics (at Higher Medical Universities and Research Institutes) Polyclinic
327,Koʻp tarmoqli tibbiyot markazi poliklinikasi,Поликлиника Многопрофильного Медицинского Центра,Multidisciplinary Medical Center Polyclinic
329,Bolalar koʻp tarmoqli tibbiyot markazi poliklinikasi,Детский многопрофильный медицинский центр Поликлиника,Children's Multidisciplinary Medical Center Polyclinic
331,Ilmiy-tekshirish instituti poliklinikasi,Поликлиника НИИ,Scientific Research Institute Polyclinic
333,Koʻp tarmoqli klinikasi poliklinikasi,Поликлиника многопрофильной клиники,Multidisciplinary Clinic Polyclinic
335,Klinik shifoxonasi poliklinikasi,Клиническая больница поликлиника,Clinical Hospital Polyclinic
337,Maxsus shifoxonasi poliklinikasi,Специализированная больница-поликлиника,Specialized Hospital Polyclinic
339,Markaziy konsultativ-diagnostika poliklinikasi,Центральная консультативно-диагностическая поликлиника,Central Consultative and Diagnostic Polyclinic
341,Stomatologiya poliklinikasi,Стоматологическая клиника,Stomatological Polyclinic
343,Tibbiy diagnostika markazi,Медицинский диагностический центр,Medical Diagnostic Center
345,Markaz va dispanser poliklinikasi,Центр и диспансерная поликлиника,Central and Dispensary Polyclinic
347,Tuman (shahar) koʻp tarmoqli markaziy poliklinikasi,Районная (городская) многопрофильная центральная поликлиника,District (City) Multidisciplinary Central Polyclinic
349,Shahar poliklinikasi,Городская поликлиника,City Polyclinic
351,Oilaviy poliklinika ,Семейная поликлиника,Family Polyclinic
353,Bolalar stomatologiya poliklinikasi,Детская стоматологическая поликлиника,Children's Dental Polyclinic
355,Oilaviy shifokorlik punkti,Клиника семейной медицины,Family Medical Point
357,Mahalla tayanch punkti,Махаллинский медицинский пункт,Neighborhood Base Point
411,Ftiziatriya sanatoriyasi,Фтизиатрический санаторий,Phthisiology sanatorium
413,Bolalar ftiziatriya sanatoriyasi,Детский фтизиатрический санаторий,Children's phthisiology sanatorium
415,Surunkkli kasalligi va nogironligi mavjud bolalar uchun xududiy tibbiyot reablitatsiya markazi,Областной медицинский реабилитационный центр для детей с хроническими заболеваниями и ограниченными возможностями,Regional medical rehabilitation center for children with chronic diseases and disabilities
417,Bolalar revmatologiya sanatoriyasi ,Детский ревматологический санаторий,Children's rheumatology sanatorium
419,Bolalar maxsuslashgan sixatgoxi,Специализированная детская больница,Specialized children's sanatorium
421,"""Ona va bola "" sihatgoxi",Санаторий «Мать и дитя»,Mother and Child sanatorium
911,Sogʻliqni saqlash (vazirligi) boshqarmasi,Департамент здравоохранения (Министерство),Department of Health (Ministry)
913,Tibbiyot tashkilotlarini muvofiqlashtruvchi muassasalari,Координирующие учреждения медицинских организаций,Coordinating institutions of medical organizations
915,Tibbiyot akademiyasi,Медицинская академия,Medical Academy
917,Tibbiyot xodimlarining kasbiy malakasini rivojlantirish muassasalari,Учреждения повышения профессиональной квалификации медицинских кадров,Institutions for the development of professional qualifications of medical personnel
919,Tibbiyot instituti,Медицинский институт,Medical institute
921,Tibbiyot kolleji,Медицинский колледж,Medical college
923,Salomatlik texnikumi,Техническая школа здравоохранения,Health technical school
925,Sogʻliqni saqlash muzeyi,Музей здоровья,Health Museum
927,Gazetasi tahririyati,Редакция газеты,Newspaper Editorial Office
929,Jurnali tahririyati ,Редакция журнала,Magazine Editorial Office
931,Ilmiy-tibbiyot kutubxonasi,Научно-медицинская библиотека,Scientific and Medical Library
933,Xoʻjalik hisobidagi dezinfeksiya,Дезинфекция за счет домохозяйства,Disinfection in Household Accounts
935,Oʻlat profilaktikasi,Профилактика чумы,Plague Prevention
937,Avtoxoʻjaligi,Автомобильная промышленность,Automobile Industry
939,Tibbiy omborxonasi ,Медицинский склад,Medical Warehouse
999,Sogʻliqni saqlash tizimining boshqa tashkilotlari,Другие организации здравоохранения,Other Organizations of the Healthcare System
